id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,color_tested,sound_target,figure_response,occupation,figure_target,figure_score,color_target,timestamp,simulate,figure_tested,position_target,color_response,sound_tested,sound_response,position_response,position_tested,position_score,sound_score,color_score
fugl ,female,28,training_transfer,training,ps2,2,2,28,5,white,circle,sounds\T.wav,0,0,,Studerende,,,,1554967662951,no,0,0,,1,0,0,1,1,1,
fugl ,female,28,training_transfer,training,ps2,2,2,29,6,white,circle,sounds\C.wav,0,1,,Studerende,,,,1554967665491,no,0,0,,1,1,0,1,1,1,
fugl ,female,28,training_transfer,training,ps2,2,2,30,3,white,circle,sounds\P.wav,0,0,,Studerende,,,,1554967668021,no,0,0,,1,0,0,1,1,1,
fugl ,female,28,training_transfer,training,ps2,2,2,31,6,white,circle,sounds\B.wav,0,0,,Studerende,,,,1554967670561,no,0,1,,1,0,0,1,0,1,
fugl ,female,28,training_transfer,training,ps2,2,2,32,8,white,circle,sounds\D.wav,0,0,,Studerende,,,,1554967673101,no,0,0,,1,0,0,1,1,1,
fugl ,female,28,training_transfer,training,ps2,2,2,33,2,white,circle,sounds\G.wav,0,0,,Studerende,,,,1554967675631,no,0,0,,1,0,0,1,1,1,
fugl ,female,28,training_transfer,training,ps2,2,2,34,4,white,circle,sounds\D.wav,0,1,,Studerende,,,,1554967678151,no,0,0,,1,1,0,1,1,1,
fugl ,female,28,training_transfer,training,ps2,2,2,35,6,white,circle,sounds\C.wav,0,0,,Studerende,,,,1554967680681,no,0,0,,1,0,0,1,1,1,
fugl ,female,28,training_transfer,training,ps2,2,2,36,2,white,circle,sounds\D.wav,0,1,,Studerende,,,,1554967683231,no,0,0,,1,1,1,1,0,1,
fugl ,female,28,training_transfer,training,ps2,2,2,37,4,white,circle,sounds\E.wav,0,0,,Studerende,,,,1554967685761,no,0,0,,1,0,0,1,1,1,
fugl ,female,28,training_transfer,training,ps2,2,2,38,2,white,circle,sounds\E.wav,0,0,,Studerende,,,,1554967688291,no,0,1,,1,1,0,1,0,0,
fugl ,female,28,training_transfer,training,ps2,2,2,39,4,white,circle,sounds\D.wav,0,0,,Studerende,,,,1554967690811,no,0,1,,1,0,0,1,0,1,
fugl ,female,28,training_transfer,training,ps2,2,2,40,6,white,circle,sounds\G.wav,0,0,,Studerende,,,,1554967693341,no,0,0,,1,0,0,1,1,1,
fugl ,female,28,training_transfer,training,ps2,2,2,41,4,white,circle,sounds\B.wav,0,0,,Studerende,,,,1554967695881,no,0,1,,1,0,0,1,0,1,
fugl ,female,28,training_transfer,training,ps2,2,2,42,8,white,circle,sounds\T.wav,0,0,,Studerende,,,,1554967698421,no,0,0,,1,0,0,1,1,1,
fugl ,female,28,training_transfer,training,ps2,2,2,43,1,white,circle,sounds\T.wav,0,0,,Studerende,,,,1554967700951,no,0,0,,1,1,0,1,1,0,
fugl ,female,28,training_transfer,training,ps2,2,2,44,8,white,circle,sounds\C.wav,0,0,,Studerende,,,,1554967703471,no,0,1,,1,1,0,1,0,0,
fugl ,female,28,training_transfer,training,ps2,2,2,45,4,white,circle,sounds\T.wav,0,1,,Studerende,,,,1554967706001,no,0,0,,1,0,0,1,1,0,
fugl ,female,28,training_transfer,training,ps2,2,2,46,6,white,circle,sounds\D.wav,0,0,,Studerende,,,,1554967708541,no,0,0,,1,0,0,1,1,1,
fugl ,female,28,training_transfer,training,ps2,2,2,47,7,white,circle,sounds\C.wav,0,0,,Studerende,,,,1554967711071,no,0,0,,1,0,0,1,1,1,
fugl ,female,28,training_transfer,training,ps2,2,2,48,6,white,circle,sounds\D.wav,0,1,,Studerende,,,,1554967713601,no,0,1,,1,0,0,1,0,0,
fugl ,female,28,training_transfer,training,ps2,2,2,49,2,white,circle,sounds\T.wav,0,0,,Studerende,,,,1554967716131,no,0,0,,1,1,0,1,1,0,
