id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_score,figure_tested,simulate,color_tested,figure_response,figure_target,sound_tested,sound_response,color_score,color_target,timestamp,position_tested,position_target,occupation,figure_score,sound_score,sound_target,color_response,position_response
Haj ,female,21,training_train,pretest,pcfs12,4,1,27,4,blue,circle,sounds\T.wav,1,1,no,1,0,1,1,0,1,0,1554813338176,1,0,Studerende,0,0,1,0,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,28,4,yellow,star,sounds\B.wav,1,1,no,1,0,0,1,1,1,0,1554813341759,1,1,Studerende,1,0,0,0,1
Haj ,female,21,training_train,pretest,pcfs12,4,1,29,4,blue,triangle,sounds\D.wav,1,1,no,1,0,0,1,0,1,0,1554813345360,1,1,Studerende,1,1,0,0,1
Haj ,female,21,training_train,pretest,pcfs12,4,1,30,2,green,star,sounds\T.wav,1,1,no,1,0,0,1,0,1,0,1554813348911,1,0,Studerende,1,1,0,0,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,31,7,green,square,sounds\T.wav,1,1,no,1,0,0,1,0,1,1,1554813352477,1,0,Studerende,1,0,1,1,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,32,4,darkorange,square,sounds\C.wav,1,1,no,1,0,1,1,1,1,0,1554813356043,1,0,Studerende,0,0,0,0,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,33,5,yellow,circle,sounds\P.wav,1,1,no,1,0,0,1,0,1,0,1554813359595,1,0,Studerende,1,1,0,0,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,34,1,darkorange,triangle,sounds\G.wav,1,1,no,1,0,0,1,0,1,0,1554813363144,1,0,Studerende,1,1,0,0,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,35,6,green,circle,sounds\D.wav,1,1,no,1,0,0,1,0,1,0,1554813366694,1,0,Studerende,1,1,0,0,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,36,4,red,circle,sounds\G.wav,1,1,no,1,1,1,1,0,1,0,1554813370261,1,0,Studerende,1,1,0,0,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,37,0,darkorange,circle,sounds\G.wav,1,1,no,1,1,1,1,1,1,0,1554813373844,1,0,Studerende,1,1,1,0,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,38,5,dimgray,square,sounds\T.wav,1,1,no,1,0,0,1,0,1,0,1554813377395,1,0,Studerende,1,1,0,0,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,39,1,blue,triangle,sounds\E.wav,1,1,no,1,1,0,1,0,1,0,1554813380961,1,0,Studerende,0,1,0,0,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,40,0,blue,square,sounds\V.wav,1,1,no,1,0,0,1,0,1,1,1554813384528,1,0,Studerende,1,1,0,1,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,41,7,darkorange,triangle,sounds\V.wav,1,1,no,1,0,0,1,1,1,0,1554813388095,1,0,Studerende,1,1,1,0,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,42,3,darkorange,circle,sounds\D.wav,1,1,no,1,0,0,1,0,1,1,1554813391661,1,0,Studerende,1,1,0,1,0
