id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,timestamp,figure_score,color_target,position_score,sound_response,sound_target,position_tested,figure_tested,figure_target,sound_tested,simulate,occupation,position_target,figure_response,position_response,color_score,color_tested,color_response,sound_score
okse,female,23,training_train,pretest,pc2,2,2,42,6,darkorange,circle,,1555328928435,,0,1,,,1,0,,0,no,Studerende,1,,1,1,1,0,
okse,female,23,training_train,pretest,pc2,2,2,43,3,red,circle,,1555328930995,,0,0,,,1,0,,0,no,Studerende,1,,0,1,1,0,
okse,female,23,training_train,pretest,pc2,2,2,44,4,green,circle,,1555328933555,,0,1,,,1,0,,0,no,Studerende,0,,0,1,1,0,
okse,female,23,training_train,pretest,pc2,2,2,45,4,dimgray,circle,,1555328936155,,0,0,,,1,0,,0,no,Studerende,0,,1,0,1,1,
okse,female,23,training_train,pretest,pc2,2,2,46,0,green,circle,,1555328938715,,1,1,,,1,0,,0,no,Studerende,0,,0,0,1,0,
okse,female,23,training_train,pretest,pc2,2,2,47,4,green,circle,,1555328941275,,0,0,,,1,0,,0,no,Studerende,1,,0,1,1,0,
okse,female,23,training_train,pretest,pc2,2,2,48,8,darkorange,circle,,1555328943885,,0,1,,,1,0,,0,no,Studerende,0,,0,0,1,1,
okse,female,23,training_train,pretest,pc2,2,2,49,4,green,circle,,1555328946445,,1,0,,,1,0,,0,no,Studerende,1,,0,0,1,0,
okse,female,23,training_train,pretest,pc2,2,2,50,8,white,circle,,1555328949005,,0,0,,,1,0,,0,no,Studerende,1,,0,1,1,0,
okse,female,23,training_train,pretest,pc2,2,2,51,6,red,circle,,1555328951585,,0,0,,,1,0,,0,no,Studerende,0,,1,0,1,1,
okse,female,23,training_train,pretest,pc2,2,2,52,1,white,circle,,1555328954145,,1,1,,,1,0,,0,no,Studerende,0,,0,0,1,0,
okse,female,23,training_train,pretest,pc2,2,2,53,8,white,circle,,1555328956725,,0,0,,,1,0,,0,no,Studerende,0,,1,0,1,1,
okse,female,23,training_train,pretest,pc2,2,2,54,3,darkorange,circle,,1555328959285,,0,1,,,1,0,,0,no,Studerende,0,,0,1,1,0,
