id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,color_tested,sound_response,position_score,figure_score,sound_score,position_response,figure_response,color_target,color_response,figure_target,color_score,sound_tested,position_tested,timestamp,simulate,figure_tested,position_target,sound_target,occupation
Jaguar,female,25,training_transfer,practice,pcfs1,4,1,4,7,darkorange,circle,sounds/C.wav,1,0,1,1,1,0,0,0,0,0,1,1,1,1554902634597,no,1,0,0,I arbejde
Jaguar,female,25,training_transfer,practice,pcfs1,4,1,5,1,darkorange,triangle,sounds/C.wav,1,1,1,1,1,0,0,1,0,0,0,1,1,1554902638209,no,1,0,1,I arbejde
Jaguar,female,25,training_transfer,practice,pcfs1,4,1,6,1,dimgray,square,sounds/V.wav,1,0,0,1,1,0,0,0,0,0,1,1,1,1554902641802,no,1,1,0,I arbejde
Jaguar,female,25,training_transfer,practice,pcfs1,4,1,7,7,dimgray,star,sounds/T.wav,1,0,1,0,1,0,1,1,1,0,1,1,1,1554902645422,no,1,0,0,I arbejde
Jaguar,female,25,training_transfer,practice,pcfs1,4,1,8,5,red,star,sounds/T.wav,1,0,1,1,0,0,1,0,0,1,1,1,1,1554902649030,no,1,0,1,I arbejde
Jaguar,female,25,training_transfer,practice,pcfs1,4,1,9,4,red,circle,sounds/G.wav,1,0,1,1,1,0,0,1,0,0,0,1,1,1554902652615,no,1,0,0,I arbejde
Jaguar,female,25,training_transfer,practice,pcfs1,4,1,10,8,dimgray,circle,sounds/G.wav,1,0,1,0,0,0,0,0,0,1,1,1,1,1554902656200,no,1,0,1,I arbejde
Jaguar,female,25,training_transfer,practice,pcfs1,4,1,11,8,yellow,square,sounds/T.wav,1,0,1,1,1,1,0,0,0,0,1,1,1,1554902659816,no,1,1,0,I arbejde
Jaguar,female,25,training_transfer,practice,pcfs1,4,1,12,0,green,star,sounds/V.wav,1,1,0,0,0,1,1,0,1,0,0,1,1,1554902663381,no,1,0,0,I arbejde
Jaguar,female,25,training_transfer,practice,pcfs1,4,1,13,0,green,triangle,sounds/G.wav,1,1,1,0,0,1,1,1,1,0,1,1,1,1554902666923,no,1,1,0,I arbejde
Jaguar,female,25,training_transfer,practice,pcfs1,4,1,14,3,darkorange,triangle,sounds/D.wav,1,0,1,0,1,0,0,0,0,1,1,1,1,1554902670512,no,1,0,0,I arbejde
Jaguar,female,25,training_transfer,practice,pcfs1,4,1,15,1,dimgray,square,sounds/E.wav,1,1,0,0,0,1,1,0,1,0,0,1,1,1554902674062,no,1,0,0,I arbejde
Jaguar,female,25,training_transfer,practice,pcfs1,4,1,16,0,dimgray,circle,sounds/E.wav,1,0,1,0,0,0,1,1,1,0,1,1,1,1554902677679,no,1,0,1,I arbejde
Jaguar,female,25,training_transfer,practice,pcfs1,4,1,17,5,green,square,sounds/T.wav,1,0,1,1,1,0,0,0,0,0,1,1,1,1554902681275,no,1,0,0,I arbejde
Jaguar,female,25,training_transfer,practice,pcfs1,4,1,18,4,blue,circle,sounds/C.wav,1,0,1,1,1,0,0,0,0,0,1,1,1,1554902684869,no,1,0,0,I arbejde
Jaguar,female,25,training_transfer,practice,pcfs1,4,1,19,7,green,circle,sounds/T.wav,1,1,0,1,0,1,1,0,1,1,0,1,1,1554902688416,no,1,0,0,I arbejde
Jaguar,female,25,training_transfer,practice,pcfs1,4,1,20,5,yellow,star,sounds/E.wav,1,0,1,1,1,0,0,0,0,0,1,1,1,1554902692003,no,1,0,0,I arbejde
Jaguar,female,25,training_transfer,practice,pcfs1,4,1,21,1,yellow,circle,sounds/E.wav,1,1,1,1,1,0,0,1,1,0,1,1,1,1554902695626,no,1,0,1,I arbejde
Jaguar,female,25,training_transfer,practice,pcfs1,4,1,22,0,green,triangle,sounds/E.wav,1,1,1,1,1,0,0,0,0,0,1,1,1,1554902699245,no,1,0,1,I arbejde
Jaguar,female,25,training_transfer,practice,pcfs1,4,1,23,4,green,square,sounds/T.wav,1,0,1,1,1,0,0,1,0,0,0,1,1,1554902702833,no,1,0,0,I arbejde
Jaguar,female,25,training_transfer,practice,pcfs1,4,1,24,8,dimgray,square,sounds/C.wav,1,0,1,0,1,0,0,0,0,1,1,1,1,1554902706426,no,1,0,0,I arbejde
Jaguar,female,25,training_transfer,practice,pcfs1,4,1,25,8,yellow,square,sounds/B.wav,1,1,1,0,0,1,0,0,1,1,0,1,1,1554902709964,no,1,1,0,I arbejde
Jaguar,female,25,training_transfer,practice,pcfs1,4,1,26,8,blue,triangle,sounds/E.wav,1,0,1,1,1,1,0,0,0,0,1,1,1,1554902713584,no,1,1,0,I arbejde
Jaguar,female,25,training_transfer,practice,pcfs1,4,1,27,3,yellow,triangle,sounds/E.wav,1,1,1,0,1,0,0,0,0,1,1,1,1,1554902717180,no,1,0,1,I arbejde
Jaguar,female,25,training_transfer,practice,pcfs1,4,1,28,3,darkorange,triangle,sounds/T.wav,1,1,1,1,0,1,1,0,1,1,0,1,1,1554902720718,no,1,1,0,I arbejde
Jaguar,female,25,training_transfer,practice,pcfs1,4,1,29,0,green,star,sounds/E.wav,1,1,1,1,0,0,0,0,0,0,1,1,1,1554902724324,no,1,0,0,I arbejde
Jaguar,female,25,training_transfer,practice,pcfs1,4,1,30,3,yellow,triangle,sounds/V.wav,1,0,1,1,1,0,0,0,0,0,1,1,1,1554902727917,no,1,0,0,I arbejde
Jaguar,female,25,training_transfer,practice,pcfs1,4,1,31,8,yellow,square,sounds/V.wav,1,1,1,1,1,0,0,1,1,0,1,1,1,1554902731467,no,1,0,1,I arbejde
Jaguar,female,25,training_transfer,pretest,pc2,2,2,1,6,white,circle,,1,,1,,,0,,0,0,,1,0,1,1554902757435,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,pretest,pc2,2,2,2,6,yellow,circle,,1,,0,,,1,,0,0,,1,0,1,1554902760016,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,pretest,pc2,2,2,3,6,red,circle,,1,,1,,,1,,0,0,,1,0,1,1554902762611,no,0,1,,I arbejde
Jaguar,female,25,training_transfer,pretest,pc2,2,2,4,5,darkorange,circle,,1,,1,,,0,,0,0,,1,0,1,1554902765187,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,pretest,pc2,2,2,5,7,darkorange,circle,,1,,1,,,0,,0,1,,0,0,1,1554902767769,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,pretest,pc2,2,2,6,5,white,circle,,1,,0,,,0,,0,0,,1,0,1,1554902770335,no,0,1,,I arbejde
Jaguar,female,25,training_transfer,pretest,pc2,2,2,7,7,yellow,circle,,1,,0,,,0,,0,0,,1,0,1,1554902772909,no,0,1,,I arbejde
Jaguar,female,25,training_transfer,pretest,pc2,2,2,8,7,darkorange,circle,,1,,0,,,1,,0,1,,0,0,1,1554902775507,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,pretest,pc2,2,2,9,7,dimgray,circle,,1,,0,,,0,,0,0,,1,0,1,1554902778090,no,0,1,,I arbejde
Jaguar,female,25,training_transfer,pretest,pc2,2,2,10,0,green,circle,,1,,1,,,0,,0,0,,1,0,1,1554902780662,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,pretest,pc2,2,2,11,7,white,circle,,1,,1,,,1,,0,0,,1,0,1,1554902783245,no,0,1,,I arbejde
Jaguar,female,25,training_transfer,pretest,pc2,2,2,12,3,red,circle,,1,,1,,,0,,0,0,,1,0,1,1554902785828,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,pretest,pc2,2,2,13,5,white,circle,,1,,1,,,0,,1,0,,0,0,1,1554902788400,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,pretest,pc2,2,2,14,3,white,circle,,1,,1,,,1,,0,0,,1,0,1,1554902790992,no,0,1,,I arbejde
Jaguar,female,25,training_transfer,pretest,pc2,2,2,15,5,white,circle,,1,,0,,,0,,1,1,,1,0,1,1554902793578,no,0,1,,I arbejde
Jaguar,female,25,training_transfer,pretest,pc2,2,2,16,4,yellow,circle,,1,,1,,,0,,0,0,,1,0,1,1554902796156,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,pretest,pc2,2,2,17,3,blue,circle,,1,,1,,,0,,0,0,,1,0,1,1554902798728,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,pretest,pc2,2,2,18,7,white,circle,,1,,1,,,0,,0,0,,1,0,1,1554902801302,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,pretest,pc2,2,2,19,2,white,circle,,1,,1,,,0,,0,0,,1,0,1,1554902803877,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,pretest,pc2,2,2,20,3,white,circle,,1,,1,,,0,,1,0,,0,0,1,1554902806451,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,pretest,pc2,2,2,21,2,white,circle,,1,,0,,,0,,1,1,,1,0,1,1554902809046,no,0,1,,I arbejde
Jaguar,female,25,training_transfer,pretest,pc2,2,2,22,1,green,circle,,1,,1,,,0,,0,0,,1,0,1,1554902811615,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,pretest,pc2,2,2,23,2,darkorange,circle,,1,,1,,,1,,0,0,,1,0,1,1554902814201,no,0,1,,I arbejde
Jaguar,female,25,training_transfer,pretest,pc2,2,2,24,5,blue,circle,,1,,1,,,0,,0,0,,1,0,1,1554902816779,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,pretest,pc2,2,2,25,6,yellow,circle,,1,,1,,,0,,0,0,,1,0,1,1554902819353,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,pretest,pc2,2,2,26,8,blue,circle,,1,,1,,,0,,1,1,,1,0,1,1554902821942,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,pretest,pc2,2,2,27,6,green,circle,,1,,1,,,1,,0,0,,1,0,1,1554902824523,no,0,1,,I arbejde
Jaguar,female,25,training_transfer,pretest,pc2,2,2,28,8,white,circle,,1,,1,,,1,,0,0,,1,0,1,1554902827126,no,0,1,,I arbejde
Jaguar,female,25,training_transfer,pretest,pc2,2,2,29,5,green,circle,,1,,1,,,0,,1,1,,1,0,1,1554902829718,no,0,0,,I arbejde
