id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_response,color_response,position_tested,timestamp,figure_target,sound_target,figure_response,sound_score,occupation,color_tested,color_score,simulate,position_target,color_target,position_score,sound_tested,figure_score,figure_tested,sound_response
Igle,male,27,training_train,practice,sc2,2,2,18,4,red,circle,sounds/D.wav,,1,0,1555586955052,,0,,1,I arbejde,1,0,no,,0,,1,,0,0
Igle,male,27,training_train,practice,sc2,2,2,19,4,green,circle,sounds/E.wav,,1,0,1555586957634,,0,,1,I arbejde,1,1,no,,1,,1,,0,0
Igle,male,27,training_train,practice,sc2,2,2,20,4,darkorange,circle,sounds/P.wav,,0,0,1555586960211,,0,,1,I arbejde,1,1,no,,0,,1,,0,0
Igle,male,27,training_train,practice,sc2,2,2,21,4,green,circle,sounds/E.wav,,0,0,1555586962809,,1,,1,I arbejde,1,0,no,,1,,1,,0,1
Igle,male,27,training_train,practice,sc2,2,2,22,4,darkorange,circle,sounds/D.wav,,0,0,1555586965387,,0,,1,I arbejde,1,0,no,,1,,1,,0,0
Igle,male,27,training_train,practice,sc2,2,2,23,4,blue,circle,sounds/B.wav,,0,0,1555586967961,,0,,1,I arbejde,1,1,no,,0,,1,,0,0
Igle,male,27,training_train,practice,sc2,2,2,24,4,red,circle,sounds/D.wav,,0,0,1555586970539,,1,,0,I arbejde,1,1,no,,0,,1,,0,0
Igle,male,27,training_train,practice,sc2,2,2,25,4,green,circle,sounds/T.wav,,0,0,1555586973110,,0,,1,I arbejde,1,1,no,,0,,1,,0,0
Igle,male,27,training_train,practice,sc2,2,2,26,4,darkorange,circle,sounds/P.wav,,0,0,1555586975685,,0,,1,I arbejde,1,1,no,,0,,1,,0,0
Igle,male,27,training_train,practice,sc2,2,2,27,4,dimgray,circle,sounds/G.wav,,0,0,1555586978259,,0,,1,I arbejde,1,1,no,,0,,1,,0,0
Igle,male,27,training_train,practice,sc2,2,2,28,4,dimgray,circle,sounds/E.wav,,1,0,1555586980851,,0,,1,I arbejde,1,0,no,,0,,1,,0,0
Igle,male,27,training_train,practice,sc2,2,2,29,4,dimgray,circle,sounds/T.wav,,1,0,1555586983446,,0,,1,I arbejde,1,1,no,,1,,1,,0,0
Igle,male,27,training_train,practice,sc2,2,2,30,4,white,circle,sounds/C.wav,,0,0,1555586986036,,0,,0,I arbejde,1,1,no,,0,,1,,0,1
Igle,male,27,training_train,practice,sc2,2,2,31,4,blue,circle,sounds/B.wav,,0,0,1555586988604,,0,,1,I arbejde,1,1,no,,0,,1,,0,0
Igle,male,27,training_train,practice,sc2,2,2,32,4,red,circle,sounds/B.wav,,0,0,1555586991179,,0,,1,I arbejde,1,1,no,,0,,1,,0,0
Igle,male,27,training_train,practice,pcfs1,4,1,1,4,red,circle,sounds/V.wav,0,0,1,1555586998562,0,0,0,1,I arbejde,1,1,no,0,0,1,1,1,1,0
Igle,male,27,training_train,practice,pcfs1,4,1,2,5,white,triangle,sounds/B.wav,0,0,1,1555587002155,0,0,0,1,I arbejde,1,1,no,0,0,1,1,1,1,0
Igle,male,27,training_train,practice,pcfs1,4,1,3,5,blue,circle,sounds/T.wav,0,0,1,1555587005761,0,0,1,1,I arbejde,1,1,no,1,0,0,1,0,1,0
Igle,male,27,training_train,practice,pcfs1,4,1,4,2,dimgray,square,sounds/V.wav,0,0,1,1555587009356,0,0,0,1,I arbejde,1,1,no,0,0,1,1,1,1,0
Igle,male,27,training_train,practice,pcfs1,4,1,5,7,darkorange,triangle,sounds/P.wav,0,0,1,1555587012970,0,0,1,1,I arbejde,1,1,no,0,0,1,1,0,1,0
Igle,male,27,training_train,practice,pcfs1,4,1,6,7,yellow,circle,sounds/G.wav,0,0,1,1555587016558,0,0,0,1,I arbejde,1,1,no,1,0,0,1,1,1,0
Igle,male,27,training_train,practice,pcfs1,4,1,7,4,yellow,circle,sounds/P.wav,1,0,1,1555587020177,1,0,0,0,I arbejde,1,0,no,0,1,0,1,0,1,1
Igle,male,27,training_train,practice,pcfs1,4,1,8,7,white,circle,sounds/V.wav,1,0,1,1555587023768,1,0,0,1,I arbejde,1,1,no,0,0,0,1,0,1,0
Igle,male,27,training_train,practice,pcfs1,4,1,9,0,red,star,sounds/V.wav,0,0,1,1555587027378,0,1,0,1,I arbejde,1,1,no,0,0,1,1,1,1,1
Igle,male,27,training_train,practice,pcfs1,4,1,10,3,red,star,sounds/E.wav,0,1,1,1555587030995,1,0,1,1,I arbejde,1,1,no,0,1,1,1,1,1,0
Igle,male,27,training_train,practice,pcfs1,4,1,11,3,red,circle,sounds/B.wav,0,1,1,1555587034615,0,0,0,1,I arbejde,1,1,no,1,1,0,1,1,1,0
Igle,male,27,training_train,practice,pcfs1,4,1,12,7,dimgray,star,sounds/B.wav,0,0,1,1555587038217,0,1,0,1,I arbejde,1,1,no,0,0,1,1,1,1,1
Igle,male,27,training_train,practice,pcfs1,4,1,13,1,dimgray,star,sounds/D.wav,0,1,1,1555587041845,1,0,1,1,I arbejde,1,1,no,0,1,1,1,1,1,0
Igle,male,27,training_train,practice,pcfs1,4,1,14,1,darkorange,circle,sounds/T.wav,1,0,1,1555587045447,0,0,0,1,I arbejde,1,1,no,1,0,1,1,1,1,0
Igle,male,27,training_train,practice,pcfs1,4,1,15,7,darkorange,triangle,sounds/D.wav,0,1,1,1555587049049,0,0,0,1,I arbejde,1,1,no,0,1,1,1,1,1,0
Igle,male,27,training_train,practice,pcfs1,4,1,16,0,yellow,triangle,sounds/G.wav,0,0,1,1555587052662,1,0,1,1,I arbejde,1,1,no,0,0,1,1,1,1,0
Igle,male,27,training_train,practice,pcfs1,4,1,17,7,green,square,sounds/T.wav,0,0,1,1555587056262,0,0,0,0,I arbejde,1,1,no,0,0,1,1,1,1,1
Igle,male,27,training_train,practice,pcfs1,4,1,18,7,green,square,sounds/T.wav,0,1,1,1555587059896,1,1,1,1,I arbejde,1,1,no,1,1,0,1,1,1,1
Igle,male,27,training_train,practice,pcfs1,4,1,19,7,red,circle,sounds/V.wav,0,0,1,1555587063486,0,0,0,1,I arbejde,1,1,no,1,0,0,1,1,1,0
Igle,male,27,training_train,practice,pcfs1,4,1,20,4,darkorange,square,sounds/V.wav,0,0,1,1555587067103,0,1,0,1,I arbejde,1,1,no,0,0,1,1,1,1,1
Igle,male,27,training_train,practice,pcfs1,4,1,21,7,blue,circle,sounds/C.wav,0,0,1,1555587070685,0,0,0,1,I arbejde,1,1,no,0,0,1,1,1,1,0
Igle,male,27,training_train,practice,pcfs1,4,1,22,6,dimgray,triangle,sounds/C.wav,0,0,1,1555587074299,0,1,0,1,I arbejde,1,1,no,0,0,1,1,1,1,1
Igle,male,27,training_train,practice,pcfs1,4,1,23,7,yellow,triangle,sounds/D.wav,0,0,1,1555587077892,1,0,0,1,I arbejde,1,1,no,0,0,1,1,0,1,0
Igle,male,27,training_train,practice,pcfs1,4,1,24,5,blue,circle,sounds/P.wav,0,0,1,1555587081485,0,0,0,1,I arbejde,1,1,no,0,0,1,1,1,1,0
Igle,male,27,training_train,practice,pcfs1,4,1,25,3,blue,square,sounds/V.wav,0,1,1,1555587085090,0,0,0,1,I arbejde,1,1,no,0,1,1,1,1,1,0
Igle,male,27,training_train,practice,pcfs1,4,1,26,5,red,triangle,sounds/B.wav,0,0,1,1555587088695,0,0,1,1,I arbejde,1,1,no,0,0,1,1,0,1,0
Igle,male,27,training_train,practice,pcfs1,4,1,27,5,darkorange,star,sounds/B.wav,0,0,1,1555587092303,0,1,1,1,I arbejde,1,1,no,1,0,0,1,0,1,1
Igle,male,27,training_train,practice,pcfs1,4,1,28,8,blue,triangle,sounds/G.wav,0,0,1,1555587095903,0,0,1,1,I arbejde,1,1,no,0,0,1,1,0,1,0
Igle,male,27,training_train,practice,pcfs1,4,1,29,7,white,star,sounds/G.wav,0,0,1,1555587099510,0,1,0,1,I arbejde,1,1,no,0,0,1,1,1,1,1
Igle,male,27,training_train,practice,pcfs1,4,1,30,7,white,circle,sounds/G.wav,1,0,1,1555587103130,0,1,0,1,I arbejde,1,0,no,1,1,1,1,1,1,1
Igle,male,27,training_train,practice,pcfs1,4,1,31,5,dimgray,circle,sounds/B.wav,0,0,1,1555587106741,1,0,1,1,I arbejde,1,1,no,0,0,1,1,1,1,0
Igle,male,27,training_train,pretest,pc2,2,2,1,7,white,circle,,0,0,1,1555587125492,,,,,I arbejde,1,1,no,0,0,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,2,6,green,circle,,0,0,1,1555587128064,,,,,I arbejde,1,1,no,0,0,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,3,8,white,circle,,0,0,1,1555587130638,,,,,I arbejde,1,0,no,0,1,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,4,8,yellow,circle,,0,0,1,1555587133213,,,,,I arbejde,1,1,no,0,0,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,5,3,blue,circle,,0,1,1,1555587135802,,,,,I arbejde,1,0,no,0,0,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,6,8,darkorange,circle,,0,0,1,1555587138375,,,,,I arbejde,1,1,no,1,0,0,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,7,1,darkorange,circle,,0,0,1,1555587140948,,,,,I arbejde,1,1,no,0,0,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,8,8,darkorange,circle,,0,1,1,1555587143546,,,,,I arbejde,1,1,no,1,1,0,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,9,1,blue,circle,,1,0,1,1555587146121,,,,,I arbejde,1,1,no,1,0,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,10,6,green,circle,,0,0,1,1555587148704,,,,,I arbejde,1,1,no,0,0,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,11,1,blue,circle,,1,1,1,1555587151299,,,,,I arbejde,1,1,no,1,1,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,12,1,red,circle,,0,0,1,1555587153868,,,,,I arbejde,1,1,no,0,0,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,13,1,blue,circle,,0,1,1,1555587156465,,,,,I arbejde,1,1,no,1,1,0,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,14,7,dimgray,circle,,0,0,1,1555587159031,,,,,I arbejde,1,1,no,0,0,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,15,0,blue,circle,,0,0,1,1555587161606,,,,,I arbejde,1,0,no,0,1,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,16,2,green,circle,,0,0,1,1555587164178,,,,,I arbejde,1,1,no,0,0,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,17,2,white,circle,,0,0,1,1555587166752,,,,,I arbejde,1,1,no,0,0,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,18,1,red,circle,,0,1,1,1555587169347,,,,,I arbejde,1,0,no,0,0,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,19,4,white,circle,,0,1,1,1555587171939,,,,,I arbejde,1,1,no,0,1,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,20,5,red,circle,,0,1,1,1555587174531,,,,,I arbejde,1,1,no,0,1,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,21,4,blue,circle,,1,0,1,1555587177134,,,,,I arbejde,1,1,no,1,0,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,22,6,white,circle,,0,0,1,1555587179704,,,,,I arbejde,1,1,no,0,0,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,23,1,yellow,circle,,0,0,1,1555587182275,,,,,I arbejde,1,1,no,0,0,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,24,7,dimgray,circle,,0,0,1,1555587184850,,,,,I arbejde,1,1,no,0,0,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,25,4,green,circle,,0,0,1,1555587187424,,,,,I arbejde,1,1,no,0,0,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,26,7,green,circle,,1,1,1,1555587190030,,,,,I arbejde,1,0,no,1,0,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,27,3,white,circle,,0,0,1,1555587192606,,,,,I arbejde,1,1,no,0,0,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,28,4,blue,circle,,0,0,1,1555587195179,,,,,I arbejde,1,1,no,0,0,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,29,1,white,circle,,0,1,1,1555587197764,,,,,I arbejde,1,1,no,0,1,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,30,5,green,circle,,0,0,1,1555587200341,,,,,I arbejde,1,1,no,0,0,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,31,1,white,circle,,1,1,1,1555587202942,,,,,I arbejde,1,1,no,1,1,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,32,5,red,circle,,0,0,1,1555587205522,,,,,I arbejde,1,1,no,1,0,0,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,33,7,red,circle,,0,1,1,1555587208108,,,,,I arbejde,1,0,no,0,0,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,34,5,red,circle,,1,1,1,1555587210732,,,,,I arbejde,1,1,no,1,1,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,35,3,darkorange,circle,,0,0,1,1555587213313,,,,,I arbejde,1,1,no,0,0,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,36,0,yellow,circle,,0,0,1,1555587215884,,,,,I arbejde,1,1,no,0,0,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,37,3,darkorange,circle,,1,1,1,1555587218485,,,,,I arbejde,1,1,no,1,1,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,38,5,white,circle,,0,0,1,1555587221065,,,,,I arbejde,1,1,no,0,0,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,39,3,darkorange,circle,,0,0,1,1555587223640,,,,,I arbejde,1,0,no,1,1,0,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,40,3,blue,circle,,0,0,1,1555587226215,,,,,I arbejde,1,1,no,0,0,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,41,7,red,circle,,0,0,1,1555587228786,,,,,I arbejde,1,1,no,0,0,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,42,1,green,circle,,0,0,1,1555587231361,,,,,I arbejde,1,1,no,0,0,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,43,5,white,circle,,0,0,1,1555587233933,,,,,I arbejde,1,1,no,0,0,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,44,6,blue,circle,,0,0,1,1555587236504,,,,,I arbejde,1,1,no,0,0,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,45,4,dimgray,circle,,0,0,1,1555587239082,,,,,I arbejde,1,1,no,0,0,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,46,6,yellow,circle,,0,0,1,1555587241653,,,,,I arbejde,1,1,no,1,0,0,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,47,7,dimgray,circle,,0,0,1,1555587244259,,,,,I arbejde,1,0,no,0,1,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,48,0,blue,circle,,0,0,1,1555587246835,,,,,I arbejde,1,1,no,0,0,1,0,,0,
Igle,male,27,training_train,pretest,pc2,2,2,49,4,red,circle,,0,0,1,1555587249408,,,,,I arbejde,1,1,no,0,0,1,0,,0,
