id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,color_score,position_score,sound_tested,figure_tested,sound_target,position_response,figure_response,sound_response,sound_score,color_tested,figure_score,simulate,figure_target,position_tested,occupation,position_target,color_response,color_target,timestamp
abe,female,22,training_transfer,pretest,pcfs12,4,1,36,7,green,triangle,sounds/T.wav,1,1,1,1,0,0,0,0,1,1,1,no,0,1,Studerende,0,0,0,1555061991642
abe,female,22,training_transfer,pretest,pcfs12,4,1,37,2,green,square,sounds/T.wav,1,1,1,1,1,0,0,1,1,1,1,no,0,1,Studerende,0,1,1,1555061995270
abe,female,22,training_transfer,pretest,pcfs12,4,1,38,1,green,triangle,sounds/D.wav,1,1,1,1,0,0,0,0,1,1,1,no,0,1,Studerende,0,1,1,1555061998878
abe,female,22,training_transfer,pretest,pcfs12,4,1,39,6,dimgray,star,sounds/D.wav,1,1,1,1,1,0,0,1,1,1,1,no,0,1,Studerende,0,0,0,1555062002493
abe,female,22,training_transfer,pretest,pcfs12,4,1,40,6,blue,square,sounds/D.wav,1,1,1,1,1,1,0,1,1,1,1,no,0,1,Studerende,1,0,0,1555062006129
abe,female,22,training_transfer,pretest,pcfs12,4,1,41,8,darkorange,square,sounds/V.wav,1,1,1,1,0,0,1,0,1,1,1,no,1,1,Studerende,0,0,0,1555062009719
abe,female,22,training_transfer,pretest,pcfs12,4,1,42,7,darkorange,square,sounds/G.wav,1,1,1,1,0,0,1,0,1,1,1,no,1,1,Studerende,0,1,1,1555062013345
abe,female,22,training_transfer,pretest,pcfs12,4,1,43,8,blue,star,sounds/E.wav,1,1,1,1,0,0,0,0,1,1,1,no,0,1,Studerende,0,0,0,1555062016945
abe,female,22,training_transfer,pretest,pcfs12,4,1,44,3,red,square,sounds/T.wav,1,1,1,1,0,0,0,0,1,1,1,no,0,1,Studerende,0,0,0,1555062020543
abe,female,22,training_transfer,pretest,pcfs12,4,1,45,6,red,square,sounds/P.wav,1,1,1,1,0,0,1,0,1,1,1,no,1,1,Studerende,0,1,1,1555062024175
abe,female,22,training_transfer,pretest,pcfs12,4,1,46,3,blue,triangle,sounds/T.wav,1,0,1,1,0,1,0,0,1,1,1,no,0,1,Studerende,0,0,0,1555062027774
abe,female,22,training_transfer,pretest,pcfs12,4,1,47,0,blue,square,sounds/B.wav,1,1,1,1,0,0,0,0,1,1,1,no,0,1,Studerende,0,1,1,1555062031376
abe,female,22,training_transfer,pretest,pcfs12,4,1,48,7,dimgray,triangle,sounds/G.wav,1,1,1,1,0,0,0,0,1,1,1,no,0,1,Studerende,0,0,0,1555062034964
abe,female,22,training_transfer,pretest,pcfs12,4,1,49,0,dimgray,square,sounds/D.wav,0,1,1,1,0,0,0,0,1,1,1,no,0,1,Studerende,0,0,1,1555062038563
abe,female,22,training_transfer,pretest,pcfs12,4,1,50,4,white,triangle,sounds/V.wav,1,1,1,1,0,0,0,0,1,1,1,no,0,1,Studerende,0,0,0,1555062042162
abe,female,22,training_transfer,pretest,pcfs12,4,1,51,4,white,square,sounds/P.wav,1,1,1,1,0,1,0,0,1,1,1,no,0,1,Studerende,1,1,1,1555062045796
abe,female,22,training_transfer,pretest,pcfs12,4,1,52,3,green,star,sounds/C.wav,1,1,1,1,0,0,0,0,1,1,1,no,0,1,Studerende,0,0,0,1555062049396
abe,female,22,training_transfer,pretest,pcfs12,4,1,53,4,darkorange,square,sounds/T.wav,1,1,1,1,0,0,0,0,1,1,1,no,0,1,Studerende,0,0,0,1555062052980
abe,female,22,training_transfer,pretest,pcfs12,4,1,54,5,darkorange,triangle,sounds/T.wav,1,1,1,1,1,0,0,1,1,1,1,no,0,1,Studerende,0,1,1,1555062056614
abe,female,22,training_transfer,pretest,pcfs12,4,1,55,4,dimgray,star,sounds/T.wav,1,0,1,1,1,1,0,1,1,1,1,no,0,1,Studerende,0,0,0,1555062060246
abe,female,22,training_transfer,pretest,pcfs12,4,1,56,4,red,circle,sounds/B.wav,1,1,1,1,0,1,0,0,1,1,1,no,0,1,Studerende,1,0,0,1555062063842
abe,female,22,training_transfer,pretest,pcfs12,4,1,57,7,white,circle,sounds/P.wav,1,1,1,1,0,0,1,0,1,1,1,no,1,1,Studerende,0,0,0,1555062067444
abe,female,22,training_transfer,pretest,pcfs12,4,1,58,4,darkorange,triangle,sounds/V.wav,1,1,1,1,0,0,0,0,1,1,1,no,0,1,Studerende,0,0,0,1555062071032
