id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,figure_score,position_tested,position_target,timestamp,sound_tested,position_score,figure_response,color_score,simulate,sound_response,occupation,sound_target,color_target,color_response,position_response,sound_score,color_tested,figure_target,figure_tested
ugle,male,26,training_train,practice,sc2,2,2,9,4,green,circle,sounds/D.wav,,0,,1555697903523,1,,,1,no,0,I arbejde,0,0,0,,1,1,,0
ugle,male,26,training_train,practice,sc2,2,2,10,4,blue,circle,sounds/C.wav,,0,,1555697906124,1,,,0,no,1,I arbejde,1,0,1,,1,1,,0
ugle,male,26,training_train,practice,sc2,2,2,11,4,white,circle,sounds/V.wav,,0,,1555697908692,1,,,1,no,0,I arbejde,0,0,0,,1,1,,0
ugle,male,26,training_train,practice,sc2,2,2,12,4,darkorange,circle,sounds/D.wav,,0,,1555697911258,1,,,1,no,0,I arbejde,0,0,0,,1,1,,0
ugle,male,26,training_train,practice,sc2,2,2,13,4,dimgray,circle,sounds/V.wav,,0,,1555697913844,1,,,0,no,0,I arbejde,1,0,1,,0,1,,0
ugle,male,26,training_train,practice,sc2,2,2,14,4,dimgray,circle,sounds/V.wav,,0,,1555697916413,1,,,1,no,0,I arbejde,0,0,0,,1,1,,0
ugle,male,26,training_train,practice,sc2,2,2,15,4,dimgray,circle,sounds/V.wav,,0,,1555697918979,1,,,0,no,0,I arbejde,1,1,0,,0,1,,0
ugle,male,26,training_train,practice,sc2,2,2,16,4,yellow,circle,sounds/B.wav,,0,,1555697921546,1,,,1,no,0,I arbejde,0,0,0,,1,1,,0
ugle,male,26,training_train,practice,sc2,2,2,17,4,dimgray,circle,sounds/T.wav,,0,,1555697924114,1,,,0,no,0,I arbejde,0,1,0,,1,1,,0
ugle,male,26,training_train,practice,sc2,2,2,18,4,yellow,circle,sounds/D.wav,,0,,1555697926703,1,,,0,no,1,I arbejde,0,1,0,,0,1,,0
ugle,male,26,training_train,practice,sc2,2,2,19,4,red,circle,sounds/T.wav,,0,,1555697929269,1,,,1,no,0,I arbejde,1,0,0,,0,1,,0
ugle,male,26,training_train,practice,sc2,2,2,20,4,dimgray,circle,sounds/D.wav,,0,,1555697931835,1,,,1,no,0,I arbejde,1,0,0,,0,1,,0
ugle,male,26,training_train,practice,sc2,2,2,21,4,red,circle,sounds/E.wav,,0,,1555697934424,1,,,1,no,0,I arbejde,0,1,1,,1,1,,0
ugle,male,26,training_train,practice,sc2,2,2,22,4,dimgray,circle,sounds/B.wav,,0,,1555697937004,1,,,0,no,0,I arbejde,0,1,0,,1,1,,0
ugle,male,26,training_train,practice,sc2,2,2,23,4,blue,circle,sounds/V.wav,,0,,1555697939570,1,,,1,no,0,I arbejde,0,0,0,,1,1,,0
ugle,male,26,training_train,practice,sc2,2,2,24,4,green,circle,sounds/B.wav,,0,,1555697942186,1,,,0,no,1,I arbejde,1,0,1,,1,1,,0
ugle,male,26,training_train,practice,sc2,2,2,25,4,white,circle,sounds/C.wav,,0,,1555697944760,1,,,1,no,0,I arbejde,0,0,0,,1,1,,0
ugle,male,26,training_train,practice,sc2,2,2,26,4,green,circle,sounds/B.wav,,0,,1555697947326,1,,,0,no,0,I arbejde,1,1,0,,0,1,,0
ugle,male,26,training_train,practice,sc2,2,2,27,4,green,circle,sounds/V.wav,,0,,1555697949894,1,,,1,no,0,I arbejde,0,0,0,,1,1,,0
ugle,male,26,training_train,practice,sc2,2,2,28,4,yellow,circle,sounds/T.wav,,0,,1555697952460,1,,,1,no,0,I arbejde,0,0,0,,1,1,,0
ugle,male,26,training_train,practice,sc2,2,2,29,4,darkorange,circle,sounds/C.wav,,0,,1555697955076,1,,,0,no,1,I arbejde,0,0,1,,0,1,,0
ugle,male,26,training_train,practice,sc2,2,2,30,4,blue,circle,sounds/D.wav,,0,,1555697957650,1,,,1,no,0,I arbejde,0,0,0,,1,1,,0
ugle,male,26,training_train,practice,sc2,2,2,31,4,darkorange,circle,sounds/D.wav,,0,,1555697960219,1,,,0,no,0,I arbejde,0,1,0,,1,1,,0
ugle,male,26,training_train,practice,sc2,2,2,32,4,white,circle,sounds/C.wav,,0,,1555697962831,1,,,0,no,1,I arbejde,0,0,1,,0,1,,0
ugle,male,26,training_train,practice,pcfs1,4,1,1,5,white,star,sounds/C.wav,1,1,0,1555697974657,1,1,0,1,no,0,I arbejde,0,0,0,0,1,1,0,1
ugle,male,26,training_train,practice,pcfs1,4,1,2,0,green,star,sounds/C.wav,1,1,0,1555697978256,1,1,1,1,no,0,I arbejde,1,0,0,0,0,1,1,1
ugle,male,26,training_train,practice,pcfs1,4,1,3,0,white,star,sounds/E.wav,0,1,1,1555697981844,1,0,0,1,no,0,I arbejde,0,0,0,0,1,1,1,1
ugle,male,26,training_train,practice,pcfs1,4,1,4,7,yellow,square,sounds/E.wav,1,1,0,1555697985466,1,0,0,1,no,0,I arbejde,1,0,0,1,0,1,0,1
ugle,male,26,training_train,practice,pcfs1,4,1,5,7,blue,star,sounds/P.wav,0,1,1,1555697989012,1,0,1,0,no,0,I arbejde,0,0,1,0,1,1,0,1
ugle,male,26,training_train,practice,pcfs1,4,1,6,1,red,triangle,sounds/B.wav,1,1,0,1555697992615,1,1,0,1,no,0,I arbejde,0,0,0,0,1,1,0,1
ugle,male,26,training_train,practice,pcfs1,4,1,7,6,white,star,sounds/T.wav,1,1,0,1555697996238,1,0,0,1,no,0,I arbejde,0,0,0,1,1,1,0,1
ugle,male,26,training_train,practice,pcfs1,4,1,8,6,blue,star,sounds/T.wav,1,1,1,1555697999854,1,0,1,1,no,0,I arbejde,1,0,0,0,0,1,1,1
ugle,male,26,training_train,practice,pcfs1,4,1,9,3,blue,circle,sounds/B.wav,1,1,0,1555698003471,1,1,0,1,no,0,I arbejde,0,1,1,0,1,1,0,1
ugle,male,26,training_train,practice,pcfs1,4,1,10,6,yellow,square,sounds/C.wav,0,1,0,1555698007003,1,0,1,0,no,1,I arbejde,0,0,1,1,0,1,0,1
