id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,timestamp,sound_target,color_target,position_tested,color_score,sound_score,sound_tested,figure_tested,occupation,position_target,color_tested,figure_score,figure_target,sound_response,position_score,simulate,position_response,color_response,figure_response
Emu,female,19,training_train,practice,pcfs1,4,1,20,7,green,triangle,sounds/V.wav,1554811863608,0,1,1,1,1,1,1,Studerende,0,1,1,0,0,1,no,0,1,0
Emu,female,19,training_train,practice,pcfs1,4,1,21,7,red,triangle,sounds/G.wav,1554811867216,0,0,1,1,1,1,1,Studerende,1,1,0,1,0,1,no,1,0,0
Emu,female,19,training_train,practice,pcfs1,4,1,22,0,green,star,sounds/D.wav,1554811870803,0,0,1,1,1,1,1,Studerende,0,1,1,0,0,1,no,0,0,0
Emu,female,19,training_train,practice,pcfs1,4,1,23,6,green,circle,sounds/D.wav,1554811874405,1,1,1,1,0,1,1,Studerende,0,1,1,0,0,1,no,0,1,0
Emu,female,19,training_train,practice,pcfs1,4,1,24,4,darkorange,circle,sounds/D.wav,1554811878007,1,0,1,1,1,1,1,Studerende,0,1,0,1,1,1,no,0,0,0
Emu,female,19,training_train,practice,pcfs1,4,1,25,6,yellow,star,sounds/P.wav,1554811881601,0,0,1,1,1,1,1,Studerende,0,1,1,0,0,1,no,0,0,0
Emu,female,19,training_train,practice,pcfs1,4,1,26,5,green,circle,sounds/E.wav,1554811885191,0,0,1,1,1,1,1,Studerende,0,1,1,0,0,1,no,0,0,0
Emu,female,19,training_train,practice,pcfs1,4,1,27,5,white,triangle,sounds/G.wav,1554811888764,0,0,1,0,0,1,1,Studerende,1,1,0,0,1,1,no,1,1,1
Emu,female,19,training_train,practice,pcfs1,4,1,28,4,blue,square,sounds/T.wav,1554811892364,0,0,1,1,1,1,1,Studerende,0,1,1,0,0,1,no,0,0,0
Emu,female,19,training_train,practice,pcfs1,4,1,29,4,red,circle,sounds/G.wav,1554811895977,0,0,1,1,1,1,1,Studerende,1,1,1,0,0,1,no,1,0,0
Emu,female,19,training_train,practice,pcfs1,4,1,30,4,yellow,star,sounds/B.wav,1554811899579,0,0,1,1,1,1,1,Studerende,1,1,1,0,0,1,no,1,0,0
Emu,female,19,training_train,practice,pcfs1,4,1,31,5,red,circle,sounds/D.wav,1554811903176,0,0,1,1,1,1,1,Studerende,0,1,1,0,0,1,no,0,0,0
Emu,female,19,training_train,pretest,pc2,2,2,1,2,darkorange,circle,,1554811931689,,0,1,1,,0,0,Studerende,0,1,,,,1,no,0,0,
Emu,female,19,training_train,pretest,pc2,2,2,2,4,yellow,circle,,1554811934261,,0,1,1,,0,0,Studerende,0,1,,,,1,no,0,0,
Emu,female,19,training_train,pretest,pc2,2,2,3,2,green,circle,,1554811936858,,0,1,0,,0,0,Studerende,1,1,,,,0,no,0,1,
Emu,female,19,training_train,pretest,pc2,2,2,4,3,red,circle,,1554811939427,,0,1,1,,0,0,Studerende,0,1,,,,1,no,0,0,
Emu,female,19,training_train,pretest,pc2,2,2,5,7,red,circle,,1554811942007,,0,1,0,,0,0,Studerende,0,1,,,,1,no,0,1,
Emu,female,19,training_train,pretest,pc2,2,2,6,6,red,circle,,1554811944585,,1,1,1,,0,0,Studerende,0,1,,,,1,no,0,1,
Emu,female,19,training_train,pretest,pc2,2,2,7,1,yellow,circle,,1554811947162,,0,1,1,,0,0,Studerende,0,1,,,,1,no,0,0,
Emu,female,19,training_train,pretest,pc2,2,2,8,4,dimgray,circle,,1554811949737,,0,1,1,,0,0,Studerende,0,1,,,,1,no,0,0,
Emu,female,19,training_train,pretest,pc2,2,2,9,6,yellow,circle,,1554811952311,,1,1,0,,0,0,Studerende,0,1,,,,1,no,0,0,
Emu,female,19,training_train,pretest,pc2,2,2,10,1,dimgray,circle,,1554811954906,,1,1,1,,0,0,Studerende,0,1,,,,0,no,1,1,
Emu,female,19,training_train,pretest,pc2,2,2,11,6,darkorange,circle,,1554811957475,,0,1,1,,0,0,Studerende,1,1,,,,0,no,0,0,
Emu,female,19,training_train,pretest,pc2,2,2,12,1,darkorange,circle,,1554811960050,,0,1,1,,0,0,Studerende,1,1,,,,0,no,0,0,
Emu,female,19,training_train,pretest,pc2,2,2,13,4,yellow,circle,,1554811962621,,0,1,1,,0,0,Studerende,0,1,,,,1,no,0,0,
Emu,female,19,training_train,pretest,pc2,2,2,14,1,white,circle,,1554811965216,,0,1,1,,0,0,Studerende,1,1,,,,1,no,1,0,
Emu,female,19,training_train,pretest,pc2,2,2,15,8,yellow,circle,,1554811967788,,1,1,0,,0,0,Studerende,0,1,,,,1,no,0,0,
Emu,female,19,training_train,pretest,pc2,2,2,16,6,green,circle,,1554811970360,,0,1,1,,0,0,Studerende,0,1,,,,1,no,0,0,
Emu,female,19,training_train,pretest,pc2,2,2,17,5,dimgray,circle,,1554811972955,,0,1,0,,0,0,Studerende,0,1,,,,1,no,0,1,
Emu,female,19,training_train,pretest,pc2,2,2,18,5,red,circle,,1554811975523,,0,1,1,,0,0,Studerende,0,1,,,,1,no,0,0,
Emu,female,19,training_train,pretest,pc2,2,2,19,5,dimgray,circle,,1554811978098,,1,1,0,,0,0,Studerende,1,1,,,,0,no,0,0,
Emu,female,19,training_train,pretest,pc2,2,2,20,3,green,circle,,1554811980673,,0,1,1,,0,0,Studerende,0,1,,,,1,no,0,0,
Emu,female,19,training_train,pretest,pc2,2,2,21,6,blue,circle,,1554811983244,,0,1,1,,0,0,Studerende,0,1,,,,1,no,0,0,
Emu,female,19,training_train,pretest,pc2,2,2,22,3,green,circle,,1554811985833,,1,1,0,,0,0,Studerende,1,1,,,,1,no,1,0,
Emu,female,19,training_train,pretest,pc2,2,2,23,6,blue,circle,,1554811988407,,1,1,0,,0,0,Studerende,1,1,,,,0,no,0,0,
Emu,female,19,training_train,pretest,pc2,2,2,24,4,red,circle,,1554811990983,,0,1,1,,0,0,Studerende,0,1,,,,1,no,0,0,
Emu,female,19,training_train,pretest,pc2,2,2,25,6,green,circle,,1554811993580,,0,1,1,,0,0,Studerende,1,1,,,,1,no,1,0,
Emu,female,19,training_train,pretest,pc2,2,2,26,3,dimgray,circle,,1554811996163,,0,1,1,,0,0,Studerende,0,1,,,,1,no,0,0,
Emu,female,19,training_train,pretest,pc2,2,2,27,7,dimgray,circle,,1554811998735,,0,1,1,,0,0,Studerende,0,1,,,,1,no,0,0,
Emu,female,19,training_train,pretest,pc2,2,2,28,5,dimgray,circle,,1554812001321,,1,1,1,,0,0,Studerende,0,1,,,,1,no,0,1,
Emu,female,19,training_train,pretest,pc2,2,2,29,6,red,circle,,1554812003899,,0,1,1,,0,0,Studerende,0,1,,,,1,no,0,0,
Emu,female,19,training_train,pretest,pc2,2,2,30,1,yellow,circle,,1554812006475,,0,1,1,,0,0,Studerende,0,1,,,,1,no,0,0,
Emu,female,19,training_train,pretest,pc2,2,2,31,3,red,circle,,1554812009048,,1,1,0,,0,0,Studerende,0,1,,,,1,no,0,0,
Emu,female,19,training_train,pretest,pc2,2,2,32,4,yellow,circle,,1554812011623,,1,1,0,,0,0,Studerende,0,1,,,,1,no,0,0,
Emu,female,19,training_train,pretest,pc2,2,2,33,0,darkorange,circle,,1554812014194,,0,1,1,,0,0,Studerende,0,1,,,,1,no,0,0,
