id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_target,color_score,color_target,sound_target,position_response,figure_tested,occupation,sound_tested,position_tested,sound_score,color_response,color_tested,figure_target,figure_score,figure_response,timestamp,position_score,simulate,sound_response
Lama,male,22,training_transfer,pretest,pcs1,3,1,10,5,green,circle,sounds/G.wav,0,1,0,0,0,0,Studerende,1,1,1,0,1,,,,1554981842926,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,11,5,darkorange,circle,sounds/D.wav,1,1,0,0,1,0,Studerende,1,1,1,0,1,,,,1554981846566,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,12,2,darkorange,circle,sounds/C.wav,0,0,1,0,0,0,Studerende,1,1,1,0,1,,,,1554981850182,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,13,5,darkorange,circle,sounds/D.wav,0,1,1,0,0,0,Studerende,1,1,1,1,1,,,,1554981853806,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,14,4,white,circle,sounds/V.wav,0,1,0,0,0,0,Studerende,1,1,1,0,1,,,,1554981857424,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,15,2,yellow,circle,sounds/V.wav,0,1,0,1,0,0,Studerende,1,1,1,0,1,,,,1554981861061,1,no,1
Lama,male,22,training_transfer,pretest,pcs1,3,1,16,3,darkorange,circle,sounds/E.wav,0,1,0,0,0,0,Studerende,1,1,1,0,1,,,,1554981864680,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,17,3,darkorange,circle,sounds/P.wav,1,1,1,0,1,0,Studerende,1,1,1,1,1,,,,1554981868225,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,18,7,white,circle,sounds/P.wav,0,1,0,1,0,0,Studerende,1,1,1,0,1,,,,1554981871860,1,no,1
Lama,male,22,training_transfer,pretest,pcs1,3,1,19,8,yellow,circle,sounds/P.wav,0,1,0,1,0,0,Studerende,1,1,1,0,1,,,,1554981875488,1,no,1
Lama,male,22,training_transfer,pretest,pcs1,3,1,20,6,blue,circle,sounds/V.wav,0,1,0,0,0,0,Studerende,1,1,1,0,1,,,,1554981879078,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,21,7,blue,circle,sounds/E.wav,0,1,1,0,0,0,Studerende,1,1,1,1,1,,,,1554981882617,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,22,1,blue,circle,sounds/P.wav,0,1,1,0,0,0,Studerende,1,1,1,1,1,,,,1554981886160,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,23,5,white,circle,sounds/V.wav,0,1,0,0,0,0,Studerende,1,1,0,0,1,,,,1554981889806,1,no,1
Lama,male,22,training_transfer,pretest,pcs1,3,1,24,4,darkorange,circle,sounds/E.wav,0,1,0,0,0,0,Studerende,1,1,1,0,1,,,,1554981893422,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,25,7,darkorange,circle,sounds/E.wav,0,1,1,1,0,0,Studerende,1,1,0,1,1,,,,1554981897062,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,26,7,white,circle,sounds/E.wav,1,1,0,1,1,0,Studerende,1,1,1,0,1,,,,1554981900701,1,no,1
Lama,male,22,training_transfer,pretest,pcs1,3,1,27,7,white,circle,sounds/V.wav,1,1,1,0,1,0,Studerende,1,1,1,1,1,,,,1554981904336,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,28,3,blue,circle,sounds/V.wav,0,1,0,1,0,0,Studerende,1,1,1,0,1,,,,1554981907966,1,no,1
Lama,male,22,training_transfer,pretest,pcs1,3,1,29,3,dimgray,circle,sounds/B.wav,1,1,0,0,1,0,Studerende,1,1,1,0,1,,,,1554981911600,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,30,2,white,circle,sounds/C.wav,0,0,0,0,0,0,Studerende,1,1,1,1,1,,,,1554981915237,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,31,2,blue,circle,sounds/V.wav,1,1,0,0,0,0,Studerende,1,1,1,0,1,,,,1554981918853,0,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,32,6,blue,circle,sounds/G.wav,0,0,1,0,0,0,Studerende,1,1,1,0,1,,,,1554981922466,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,33,8,dimgray,circle,sounds/D.wav,0,1,0,0,0,0,Studerende,1,1,1,0,1,,,,1554981926080,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,34,8,blue,circle,sounds/D.wav,1,0,0,1,1,0,Studerende,1,1,1,1,1,,,,1554981929647,1,no,1
Lama,male,22,training_transfer,pretest,pcs1,3,1,35,8,yellow,circle,sounds/C.wav,1,1,0,0,0,0,Studerende,1,1,1,0,1,,,,1554981933252,0,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,36,3,yellow,circle,sounds/C.wav,0,1,1,1,0,0,Studerende,1,1,0,1,1,,,,1554981936891,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,37,7,green,circle,sounds/C.wav,0,1,0,1,0,0,Studerende,1,1,0,0,1,,,,1554981940493,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,38,5,blue,circle,sounds/B.wav,0,1,0,0,0,0,Studerende,1,1,1,0,1,,,,1554981944104,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,39,4,blue,circle,sounds/E.wav,0,1,1,0,0,0,Studerende,1,1,1,1,1,,,,1554981947642,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,40,5,white,circle,sounds/P.wav,0,1,0,0,0,0,Studerende,1,1,1,0,1,,,,1554981951261,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,41,5,white,circle,sounds/D.wav,1,1,1,0,1,0,Studerende,1,1,1,1,1,,,,1554981954814,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,42,2,red,circle,sounds/G.wav,0,1,0,0,0,0,Studerende,1,1,1,0,1,,,,1554981958433,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,43,8,red,circle,sounds/V.wav,0,1,1,0,0,0,Studerende,1,1,1,1,1,,,,1554981962055,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,44,0,dimgray,circle,sounds/E.wav,0,1,0,0,0,0,Studerende,1,1,1,0,1,,,,1554981965669,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,45,4,darkorange,circle,sounds/B.wav,0,1,0,0,0,0,Studerende,1,1,1,0,1,,,,1554981969285,1,no,0
