id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_response,figure_score,color_response,color_tested,sound_response,figure_response,simulate,sound_tested,color_target,color_score,position_score,figure_target,position_target,timestamp,sound_target,figure_tested,occupation,position_tested,sound_score
chimpanse,female,,training_train,pretest,pcs1,3,1,23,6,red,circle,sounds/P.wav,0,,0,1,0,,no,1,0,1,1,,0,1554798441440,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,24,7,red,circle,sounds/P.wav,0,,1,1,1,,no,1,1,1,1,,0,1554798445069,1,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,25,7,blue,circle,sounds/B.wav,1,,0,1,0,,no,1,0,1,1,,1,1554798448676,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,26,3,blue,circle,sounds/T.wav,0,,0,1,0,,no,1,1,0,1,,0,1554798452276,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,27,8,darkorange,circle,sounds/B.wav,0,,0,1,0,,no,1,0,1,1,,0,1554798455875,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,28,4,yellow,circle,sounds/E.wav,0,,0,1,0,,no,1,0,1,1,,0,1554798459474,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,29,4,yellow,circle,sounds/E.wav,1,,1,1,1,,no,1,1,1,1,,1,1554798463102,1,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,30,4,yellow,circle,sounds/T.wav,1,,1,1,0,,no,1,1,1,1,,1,1554798466722,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,31,1,blue,circle,sounds/V.wav,0,,0,1,0,,no,1,0,1,1,,0,1554798470310,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,32,6,dimgray,circle,sounds/T.wav,0,,0,1,0,,no,1,0,1,1,,0,1554798473912,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,33,6,dimgray,circle,sounds/D.wav,1,,1,1,0,,no,1,1,1,1,,1,1554798477543,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,34,6,yellow,circle,sounds/P.wav,1,,0,1,0,,no,1,0,1,1,,1,1554798481154,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,35,7,yellow,circle,sounds/C.wav,0,,0,1,0,,no,1,1,0,1,,0,1554798484744,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,36,7,white,circle,sounds/T.wav,1,,0,1,0,,no,1,0,1,1,,1,1554798488355,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,37,2,blue,circle,sounds/V.wav,0,,0,1,0,,no,1,0,1,1,,0,1554798491946,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,38,5,green,circle,sounds/P.wav,0,,0,1,0,,no,1,0,1,1,,0,1554798495545,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,39,5,white,circle,sounds/C.wav,1,,1,1,0,,no,1,0,0,1,,1,1554798499176,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,40,6,dimgray,circle,sounds/D.wav,0,,0,1,0,,no,1,0,1,1,,0,1554798502764,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,41,2,yellow,circle,sounds/B.wav,0,,0,1,0,,no,1,0,1,1,,0,1554798506366,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,42,2,green,circle,sounds/P.wav,1,,0,1,0,,no,1,0,1,1,,1,1554798509980,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,43,4,green,circle,sounds/P.wav,0,,1,1,1,,no,1,1,1,1,,0,1554798513599,1,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,44,2,dimgray,circle,sounds/T.wav,0,,0,1,0,,no,1,0,1,1,,0,1554798517198,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,45,8,dimgray,circle,sounds/D.wav,0,,1,1,0,,no,1,1,1,1,,0,1554798520809,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,46,6,green,circle,sounds/D.wav,0,,0,1,0,,no,1,0,1,1,,0,1554798524400,1,0,Studerende,1,0
chimpanse,female,,training_train,pretest,pcs1,3,1,47,7,darkorange,circle,sounds/T.wav,0,,0,1,0,,no,1,0,1,1,,0,1554798527999,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,48,6,white,circle,sounds/V.wav,0,,0,1,0,,no,1,0,1,1,,0,1554798531584,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,49,1,red,circle,sounds/P.wav,0,,0,1,0,,no,1,0,1,1,,0,1554798535168,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,50,8,red,circle,sounds/P.wav,0,,1,1,1,,no,1,1,1,1,,0,1554798538800,1,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,51,1,white,circle,sounds/C.wav,0,,0,1,0,,no,1,0,1,1,,0,1554798542402,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,52,1,white,circle,sounds/P.wav,1,,1,1,0,,no,1,1,1,1,,1,1554798546033,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,53,5,blue,circle,sounds/G.wav,0,,0,1,0,,no,1,0,1,1,,0,1554798549635,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,54,2,red,circle,sounds/G.wav,0,,0,1,1,,no,1,0,1,1,,0,1554798553258,1,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,55,3,green,circle,sounds/D.wav,0,,0,1,0,,no,1,0,1,1,,0,1554798556854,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,56,2,darkorange,circle,sounds/E.wav,0,,0,1,0,,no,1,0,1,1,,0,1554798560453,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,57,5,white,circle,sounds/V.wav,0,,0,1,0,,no,1,0,1,1,,0,1554798564052,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,58,4,darkorange,circle,sounds/V.wav,0,,0,1,1,,no,1,0,1,1,,0,1554798567663,1,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,59,6,white,circle,sounds/E.wav,0,,0,1,0,,no,1,0,1,1,,0,1554798571254,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,60,6,dimgray,circle,sounds/E.wav,1,,0,1,1,,no,1,0,1,1,,1,1554798574891,1,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,61,6,green,circle,sounds/P.wav,1,,0,1,0,,no,1,0,1,1,,1,1554798578510,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,fcs1,3,1,1,4,red,circle,sounds/D.wav,,1,0,1,0,0,no,1,0,1,,1,,1554798590524,0,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,2,4,red,triangle,sounds/V.wav,,1,1,1,0,0,no,1,1,1,,1,,1554798594143,0,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,3,4,darkorange,triangle,sounds/G.wav,,1,0,1,0,1,no,1,0,1,,1,,1554798597763,0,1,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,4,4,darkorange,square,sounds/E.wav,,1,1,1,0,0,no,1,1,1,,1,,1554798601365,0,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,5,4,red,square,sounds/T.wav,,1,0,1,0,1,no,1,0,1,,1,,1554798604979,0,1,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,6,4,red,circle,sounds/D.wav,,1,1,1,0,0,no,1,1,1,,1,,1554798608596,0,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,7,4,blue,star,sounds/G.wav,,1,0,1,0,0,no,1,0,1,,1,,1554798612192,0,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,8,4,blue,star,sounds/C.wav,,1,1,1,0,1,no,1,1,1,,1,,1554798615811,0,1,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,9,4,blue,circle,sounds/P.wav,,1,1,1,0,0,no,1,1,1,,1,,1554798619434,0,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,10,4,green,triangle,sounds/B.wav,,1,0,1,0,0,no,1,0,1,,1,,1554798623024,0,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,11,4,yellow,star,sounds/C.wav,,1,0,1,0,0,no,1,0,1,,1,,1554798626612,0,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,12,4,white,circle,sounds/G.wav,,1,0,1,0,0,no,1,0,1,,1,,1554798630211,0,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,13,4,red,triangle,sounds/C.wav,,1,0,1,0,0,no,1,0,1,,1,,1554798633811,0,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,14,4,red,star,sounds/C.wav,,1,0,1,1,0,no,1,1,0,,1,,1554798637433,1,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,15,4,darkorange,square,sounds/C.wav,,1,0,1,1,0,no,1,0,1,,1,,1554798641050,1,0,Studerende,0,1
