id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,simulate,sound_response,figure_target,color_tested,color_target,sound_tested,occupation,figure_tested,figure_score,sound_target,color_score,position_tested,position_target,sound_score,position_response,color_response,timestamp,position_score,figure_response
Giraf,female,22,training_train,practice,pcfs1,4,1,5,5,red,circle,sounds/G.wav,no,0,0,1,0,1,Studerende,1,1,0,1,1,1,1,1,0,1554970174141,1,0
Giraf,female,22,training_train,practice,pcfs1,4,1,6,1,darkorange,triangle,sounds/B.wav,no,0,0,1,0,1,Studerende,1,1,0,1,1,0,1,0,0,1554970177731,1,0
Giraf,female,22,training_train,practice,pcfs1,4,1,7,3,darkorange,square,sounds/V.wav,no,0,0,1,1,1,Studerende,1,1,0,0,1,0,1,0,0,1554970181324,1,0
Giraf,female,22,training_train,practice,pcfs1,4,1,8,2,blue,circle,sounds/B.wav,no,0,0,1,0,1,Studerende,1,1,0,1,1,0,1,0,0,1554970184917,1,0
Giraf,female,22,training_train,practice,pcfs1,4,1,9,1,red,star,sounds/T.wav,no,0,0,1,0,1,Studerende,1,1,0,1,1,0,1,0,0,1554970188514,1,0
Giraf,female,22,training_train,practice,pcfs1,4,1,10,1,white,star,sounds/B.wav,no,0,1,1,0,1,Studerende,1,0,0,1,1,1,1,1,0,1554970192118,1,0
Giraf,female,22,training_train,practice,pcfs1,4,1,11,6,yellow,circle,sounds/C.wav,no,0,0,1,0,1,Studerende,1,1,0,1,1,0,1,0,0,1554970195717,1,0
Giraf,female,22,training_train,practice,pcfs1,4,1,12,2,white,triangle,sounds/V.wav,no,0,0,1,0,1,Studerende,1,1,0,1,1,0,1,0,0,1554970199304,1,0
Giraf,female,22,training_train,practice,pcfs1,4,1,13,0,white,triangle,sounds/V.wav,no,1,1,1,1,1,Studerende,1,0,1,1,1,0,1,0,1,1554970202936,1,0
Giraf,female,22,training_train,practice,pcfs1,4,1,14,1,darkorange,star,sounds/C.wav,no,0,0,1,0,1,Studerende,1,1,0,1,1,0,1,0,0,1554970206523,1,0
Giraf,female,22,training_train,practice,pcfs1,4,1,15,1,darkorange,star,sounds/B.wav,no,1,1,1,1,1,Studerende,1,1,0,1,1,1,0,1,1,1554970210082,1,1
Giraf,female,22,training_train,practice,pcfs1,4,1,16,0,green,square,sounds/D.wav,no,0,0,1,0,1,Studerende,1,1,0,0,1,0,1,0,1,1554970213687,1,0
Giraf,female,22,training_train,practice,pcfs1,4,1,17,3,dimgray,star,sounds/C.wav,no,0,0,1,0,1,Studerende,1,1,0,1,1,0,1,0,0,1554970217271,1,0
Giraf,female,22,training_train,practice,pcfs1,4,1,18,8,dimgray,circle,sounds/C.wav,no,1,0,1,1,1,Studerende,1,1,1,1,1,0,1,0,1,1554970220806,1,0
Giraf,female,22,training_train,practice,pcfs1,4,1,19,4,green,triangle,sounds/T.wav,no,0,0,1,0,1,Studerende,1,1,0,1,1,0,1,0,0,1554970224411,1,0
Giraf,female,22,training_train,practice,pcfs1,4,1,20,0,dimgray,circle,sounds/G.wav,no,0,0,1,0,1,Studerende,1,1,0,1,1,0,1,0,0,1554970228016,1,0
Giraf,female,22,training_train,practice,pcfs1,4,1,21,0,dimgray,circle,sounds/G.wav,no,1,1,1,1,1,Studerende,1,1,1,1,1,1,1,1,1,1554970231580,1,1
Giraf,female,22,training_train,practice,pcfs1,4,1,22,0,green,star,sounds/E.wav,no,0,0,1,0,1,Studerende,1,1,0,1,1,1,1,1,0,1554970235191,1,0
Giraf,female,22,training_train,practice,pcfs1,4,1,23,1,white,circle,sounds/B.wav,no,0,0,1,0,1,Studerende,1,1,0,1,1,0,1,0,0,1554970238778,1,0
Giraf,female,22,training_train,practice,pcfs1,4,1,24,1,darkorange,square,sounds/T.wav,no,0,0,1,0,1,Studerende,1,1,0,1,1,1,1,1,0,1554970242377,1,0
Giraf,female,22,training_train,practice,pcfs1,4,1,25,0,red,square,sounds/D.wav,no,0,1,1,0,1,Studerende,1,0,0,1,1,0,1,0,0,1554970245962,1,0
Giraf,female,22,training_train,practice,pcfs1,4,1,26,6,dimgray,circle,sounds/D.wav,no,1,0,1,0,1,Studerende,1,1,1,1,1,0,1,0,0,1554970249572,1,0
Giraf,female,22,training_train,practice,pcfs1,4,1,27,0,green,circle,sounds/P.wav,no,0,1,1,0,1,Studerende,1,0,0,1,1,0,1,0,0,1554970253166,1,0
Giraf,female,22,training_train,practice,pcfs1,4,1,28,7,yellow,circle,sounds/V.wav,no,0,1,1,0,1,Studerende,1,1,0,1,1,0,1,0,0,1554970256782,1,1
Giraf,female,22,training_train,practice,pcfs1,4,1,29,3,red,square,sounds/V.wav,no,1,0,1,0,1,Studerende,1,0,1,1,1,0,1,0,0,1554970260404,1,1
Giraf,female,22,training_train,practice,pcfs1,4,1,30,5,red,star,sounds/T.wav,no,0,0,1,1,1,Studerende,1,1,0,1,1,0,1,0,1,1554970264006,1,0
Giraf,female,22,training_train,practice,pcfs1,4,1,31,5,red,triangle,sounds/T.wav,no,1,0,1,1,1,Studerende,1,1,1,0,1,1,1,1,0,1554970267640,1,0
Giraf,female,22,training_train,pretest,pc2,2,2,1,3,blue,circle,,no,,,1,0,0,Studerende,0,,,1,1,0,,0,0,1554970287376,1,
Giraf,female,22,training_train,pretest,pc2,2,2,2,8,green,circle,,no,,,1,0,0,Studerende,0,,,1,1,0,,0,0,1554970289950,1,
Giraf,female,22,training_train,pretest,pc2,2,2,3,8,dimgray,circle,,no,,,1,0,0,Studerende,0,,,1,1,0,,0,0,1554970292525,1,
Giraf,female,22,training_train,pretest,pc2,2,2,4,8,red,circle,,no,,,1,0,0,Studerende,0,,,1,1,1,,1,0,1554970295120,1,
Giraf,female,22,training_train,pretest,pc2,2,2,5,3,dimgray,circle,,no,,,1,1,0,Studerende,0,,,0,1,0,,1,0,1554970297709,0,
Giraf,female,22,training_train,pretest,pc2,2,2,6,6,white,circle,,no,,,1,0,0,Studerende,0,,,1,1,0,,0,0,1554970300277,1,
Giraf,female,22,training_train,pretest,pc2,2,2,7,7,darkorange,circle,,no,,,1,0,0,Studerende,0,,,1,1,0,,0,0,1554970302852,1,
Giraf,female,22,training_train,pretest,pc2,2,2,8,2,white,circle,,no,,,1,1,0,Studerende,0,,,1,1,0,,0,1,1554970305432,1,
Giraf,female,22,training_train,pretest,pc2,2,2,9,7,darkorange,circle,,no,,,1,1,0,Studerende,0,,,1,1,1,,0,1,1554970308006,0,
Giraf,female,22,training_train,pretest,pc2,2,2,10,2,yellow,circle,,no,,,1,0,0,Studerende,0,,,1,1,1,,1,0,1554970310607,1,
Giraf,female,22,training_train,pretest,pc2,2,2,11,5,red,circle,,no,,,1,0,0,Studerende,0,,,1,1,0,,0,0,1554970313179,1,
Giraf,female,22,training_train,pretest,pc2,2,2,12,8,green,circle,,no,,,1,0,0,Studerende,0,,,1,1,0,,0,0,1554970315749,1,
Giraf,female,22,training_train,pretest,pc2,2,2,13,2,red,circle,,no,,,1,1,0,Studerende,0,,,1,1,0,,0,1,1554970318331,1,
Giraf,female,22,training_train,pretest,pc2,2,2,14,4,white,circle,,no,,,1,0,0,Studerende,0,,,1,1,0,,0,0,1554970320899,1,
Giraf,female,22,training_train,pretest,pc2,2,2,15,1,white,circle,,no,,,1,0,0,Studerende,0,,,1,1,0,,0,0,1554970323471,1,
Giraf,female,22,training_train,pretest,pc2,2,2,16,4,white,circle,,no,,,1,1,0,Studerende,0,,,1,1,1,,1,1,1554970326065,1,
Giraf,female,22,training_train,pretest,pc2,2,2,17,2,dimgray,circle,,no,,,1,0,0,Studerende,0,,,1,1,0,,0,0,1554970328637,1,
Giraf,female,22,training_train,pretest,pc2,2,2,18,0,white,circle,,no,,,1,1,0,Studerende,0,,,1,1,0,,0,1,1554970331221,1,
Giraf,female,22,training_train,pretest,pc2,2,2,19,0,dimgray,circle,,no,,,1,1,0,Studerende,0,,,1,1,0,,0,1,1554970333818,1,
Giraf,female,22,training_train,pretest,pc2,2,2,20,6,blue,circle,,no,,,1,0,0,Studerende,0,,,1,1,0,,0,0,1554970336389,1,
Giraf,female,22,training_train,pretest,pc2,2,2,21,6,dimgray,circle,,no,,,1,1,0,Studerende,0,,,1,1,0,,0,1,1554970338996,1,
Giraf,female,22,training_train,pretest,pc2,2,2,22,3,red,circle,,no,,,1,0,0,Studerende,0,,,1,1,0,,0,0,1554970341570,1,
Giraf,female,22,training_train,pretest,pc2,2,2,23,6,dimgray,circle,,no,,,1,1,0,Studerende,0,,,1,1,1,,1,1,1554970344162,1,
Giraf,female,22,training_train,pretest,pc2,2,2,24,1,darkorange,circle,,no,,,1,0,0,Studerende,0,,,1,1,0,,0,0,1554970346734,1,
Giraf,female,22,training_train,pretest,pc2,2,2,25,4,white,circle,,no,,,1,0,0,Studerende,0,,,1,1,0,,0,0,1554970349308,1,
Giraf,female,22,training_train,pretest,pc2,2,2,26,6,green,circle,,no,,,1,0,0,Studerende,0,,,1,1,0,,0,0,1554970351883,1,
Giraf,female,22,training_train,pretest,pc2,2,2,27,8,blue,circle,,no,,,1,0,0,Studerende,0,,,1,1,0,,0,0,1554970354454,1,
Giraf,female,22,training_train,pretest,pc2,2,2,28,2,dimgray,circle,,no,,,1,0,0,Studerende,0,,,1,1,0,,0,0,1554970357029,1,
Giraf,female,22,training_train,pretest,pc2,2,2,29,8,green,circle,,no,,,1,0,0,Studerende,0,,,0,1,1,,1,1,1554970359638,1,
Giraf,female,22,training_train,pretest,pc2,2,2,30,2,darkorange,circle,,no,,,1,0,0,Studerende,0,,,1,1,1,,0,0,1554970362207,0,
Giraf,female,22,training_train,pretest,pc2,2,2,31,3,yellow,circle,,no,,,1,0,0,Studerende,0,,,0,1,0,,0,1,1554970364801,1,
Giraf,female,22,training_train,pretest,pc2,2,2,32,6,dimgray,circle,,no,,,1,0,0,Studerende,0,,,0,1,0,,1,1,1554970367386,0,
Giraf,female,22,training_train,pretest,pc2,2,2,33,6,green,circle,,no,,,1,0,0,Studerende,0,,,1,1,0,,0,0,1554970369962,1,
Giraf,female,22,training_train,pretest,pc2,2,2,34,1,white,circle,,no,,,1,0,0,Studerende,0,,,1,1,0,,0,0,1554970372534,1,
Giraf,female,22,training_train,pretest,pc2,2,2,35,6,red,circle,,no,,,1,0,0,Studerende,0,,,1,1,1,,1,0,1554970375125,1,
Giraf,female,22,training_train,pretest,pc2,2,2,36,2,white,circle,,no,,,1,1,0,Studerende,0,,,1,1,0,,0,1,1554970377720,1,
Giraf,female,22,training_train,pretest,pc2,2,2,37,4,blue,circle,,no,,,1,0,0,Studerende,0,,,1,1,0,,0,0,1554970380289,1,
Giraf,female,22,training_train,pretest,pc2,2,2,38,1,green,circle,,no,,,1,0,0,Studerende,0,,,1,1,0,,0,0,1554970382863,1,
Giraf,female,22,training_train,pretest,pc2,2,2,39,0,blue,circle,,no,,,1,1,0,Studerende,0,,,0,1,0,,0,0,1554970385438,1,
Giraf,female,22,training_train,pretest,pc2,2,2,40,7,darkorange,circle,,no,,,1,0,0,Studerende,0,,,1,1,0,,0,0,1554970388027,1,
Giraf,female,22,training_train,pretest,pc2,2,2,41,6,darkorange,circle,,no,,,1,0,0,Studerende,0,,,0,1,0,,0,1,1554970390613,1,
Giraf,female,22,training_train,pretest,pc2,2,2,42,1,yellow,circle,,no,,,1,0,0,Studerende,0,,,0,1,0,,0,1,1554970393199,1,
Giraf,female,22,training_train,pretest,pc2,2,2,43,0,blue,circle,,no,,,1,0,0,Studerende,0,,,1,1,0,,0,0,1554970395781,1,
Giraf,female,22,training_train,pretest,pc2,2,2,44,8,green,circle,,no,,,1,0,0,Studerende,0,,,1,1,0,,0,0,1554970398351,1,
Giraf,female,22,training_train,pretest,pc2,2,2,45,0,green,circle,,no,,,1,0,0,Studerende,0,,,1,1,1,,0,0,1554970400928,0,
Giraf,female,22,training_train,pretest,pc2,2,2,46,7,dimgray,circle,,no,,,1,0,0,Studerende,0,,,1,1,0,,0,0,1554970403500,1,
Giraf,female,22,training_train,pretest,pc2,2,2,47,0,blue,circle,,no,,,1,0,0,Studerende,0,,,1,1,1,,0,0,1554970406071,0,
Giraf,female,22,training_train,pretest,pc2,2,2,48,7,darkorange,circle,,no,,,1,0,0,Studerende,0,,,1,1,1,,1,0,1554970408669,1,
Giraf,female,22,training_train,pretest,pc2,2,2,49,6,red,circle,,no,,,1,0,0,Studerende,0,,,1,1,0,,0,0,1554970411238,1,
