id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_response,sound_response,color_tested,position_tested,color_score,figure_tested,timestamp,position_score,occupation,figure_response,color_response,figure_target,figure_score,sound_target,color_target,position_target,sound_tested,sound_score,simulate
Leopard,male,23,training_train,pretest,pc2,2,2,49,3,dimgray,circle,,0,,1,1,0,0,1555398952068,1,Studerende,,1,,,,0,0,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,50,0,blue,circle,,0,,1,1,1,0,1555398954619,1,Studerende,,0,,,,0,0,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,51,3,darkorange,circle,,0,,1,1,1,0,1555398957169,0,Studerende,,0,,,,0,1,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,52,2,yellow,circle,,0,,1,1,1,0,1555398959719,1,Studerende,,0,,,,0,0,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,53,2,green,circle,,1,,1,1,1,0,1555398962285,0,Studerende,,0,,,,0,0,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,54,6,white,circle,,0,,1,1,1,0,1555398964836,1,Studerende,,0,,,,0,0,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,55,1,green,circle,,0,,1,1,0,0,1555398967386,1,Studerende,,0,,,,1,0,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,56,6,red,circle,,1,,1,1,1,0,1555398969952,1,Studerende,,0,,,,0,1,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,57,6,white,circle,,0,,1,1,1,0,1555398972503,1,Studerende,,0,,,,0,0,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,58,1,darkorange,circle,,0,,1,1,1,0,1555398975053,1,Studerende,,0,,,,0,0,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,59,2,white,circle,,0,,1,1,0,0,1555398977603,1,Studerende,,0,,,,1,0,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,60,4,red,circle,,0,,1,1,1,0,1555398980153,1,Studerende,,0,,,,0,0,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,61,3,blue,circle,,0,,1,1,1,0,1555398982703,1,Studerende,,0,,,,0,0,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,62,3,darkorange,circle,,0,,1,1,1,0,1555398985252,1,Studerende,,0,,,,0,0,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,1,4,darkorange,square,,,,1,0,1,1,1555398992703,,Studerende,0,0,0,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,2,4,darkorange,star,,,,1,0,1,1,1555398995253,,Studerende,0,0,0,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,3,4,yellow,square,,,,1,0,1,1,1555398997836,,Studerende,1,0,1,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,4,4,blue,triangle,,,,1,0,1,1,1555399000386,,Studerende,0,0,0,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,5,4,white,star,,,,1,0,1,1,1555399002936,,Studerende,0,0,0,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,6,4,blue,star,,,,1,0,0,1,1555399005486,,Studerende,0,0,0,1,,1,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,7,4,dimgray,square,,,,1,0,1,1,1555399008037,,Studerende,0,0,0,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,8,4,white,circle,,,,1,0,1,1,1555399010587,,Studerende,0,0,0,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,9,4,dimgray,triangle,,,,1,0,1,1,1555399013153,,Studerende,0,1,0,1,,1,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,10,4,green,star,,,,1,0,1,1,1555399015703,,Studerende,0,0,0,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,11,4,dimgray,triangle,,,,1,0,1,1,1555399018270,,Studerende,0,1,1,0,,1,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,12,4,white,star,,,,1,0,1,1,1555399020836,,Studerende,1,0,1,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,13,4,darkorange,square,,,,1,0,1,1,1555399023388,,Studerende,0,0,0,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,14,4,dimgray,star,,,,1,0,0,1,1555399025971,,Studerende,1,1,1,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,15,4,dimgray,circle,,,,1,0,1,1,1555399028521,,Studerende,0,0,0,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,16,4,yellow,star,,,,1,0,1,1,1555399031087,,Studerende,1,0,1,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,17,4,red,square,,,,1,0,1,1,1555399033637,,Studerende,0,0,0,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,18,4,dimgray,square,,,,1,0,1,1,1555399036187,,Studerende,0,0,0,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,19,4,green,circle,,,,1,0,1,1,1555399038737,,Studerende,0,0,0,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,20,4,red,star,,,,1,0,1,1,1555399041304,,Studerende,1,0,0,0,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,21,4,green,square,,,,1,0,0,1,1555399043855,,Studerende,0,0,0,1,,1,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,22,4,red,square,,,,1,0,0,1,1555399046404,,Studerende,0,0,0,1,,1,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,23,4,white,triangle,,,,1,0,1,1,1555399048954,,Studerende,0,0,0,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,24,4,darkorange,star,,,,1,0,1,1,1555399051504,,Studerende,0,0,0,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,25,4,dimgray,square,,,,1,0,1,1,1555399054054,,Studerende,0,0,0,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,26,4,darkorange,square,,,,1,0,0,1,1555399056604,,Studerende,0,0,0,1,,1,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,27,4,darkorange,circle,,,,1,0,1,1,1555399059155,,Studerende,0,0,0,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,28,4,darkorange,star,,,,1,0,1,1,1555399061721,,Studerende,0,1,0,1,,1,,0,,no
