id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,timestamp,sound_response,position_response,color_score,sound_tested,position_score,figure_response,simulate,color_tested,figure_score,occupation,sound_target,position_target,figure_target,color_target,sound_score,color_response,figure_tested,position_tested
Pingvin,male,23,training_train,practice,pcfs1,4,1,7,4,red,star,sounds\E.wav,1555413895769,0,0,1,1,1,0,no,1,1,I arbejde,1,0,0,0,0,0,1,1
Pingvin,male,23,training_train,practice,pcfs1,4,1,8,7,green,triangle,sounds\E.wav,1555413899336,1,0,1,1,1,0,no,1,1,I arbejde,1,0,0,0,1,0,1,1
Pingvin,male,23,training_train,practice,pcfs1,4,1,9,3,dimgray,triangle,sounds\V.wav,1555413902886,0,0,1,1,1,0,no,1,0,I arbejde,0,0,1,0,1,0,1,1
Pingvin,male,23,training_train,practice,pcfs1,4,1,10,2,white,square,sounds\P.wav,1555413906437,0,0,1,1,1,0,no,1,1,I arbejde,0,0,0,0,1,0,1,1
Pingvin,male,23,training_train,practice,pcfs1,4,1,11,6,blue,triangle,sounds\P.wav,1555413910006,1,0,1,1,1,0,no,1,1,I arbejde,1,0,0,0,1,0,1,1
Pingvin,male,23,training_train,practice,pcfs1,4,1,12,6,darkorange,circle,sounds\G.wav,1555413913606,0,1,0,1,1,1,no,1,0,I arbejde,0,1,0,0,1,1,1,1
Pingvin,male,23,training_train,practice,pcfs1,4,1,13,6,white,star,sounds\C.wav,1555413917156,0,0,1,1,0,0,no,1,1,I arbejde,0,1,0,0,1,0,1,1
Pingvin,male,23,training_train,practice,pcfs1,4,1,14,7,white,circle,sounds\D.wav,1555413920753,0,0,1,1,1,1,no,1,0,I arbejde,0,0,0,1,1,1,1,1
Pingvin,male,23,training_train,practice,pcfs1,4,1,15,6,red,triangle,sounds\E.wav,1555413924320,0,0,1,1,1,0,no,1,1,I arbejde,0,0,0,0,1,0,1,1
Pingvin,male,23,training_train,practice,pcfs1,4,1,16,6,blue,triangle,sounds\B.wav,1555413927887,0,1,1,1,1,0,no,1,0,I arbejde,0,1,1,0,1,0,1,1
Pingvin,male,23,training_train,practice,pcfs1,4,1,17,3,blue,triangle,sounds\G.wav,1555413931486,1,1,0,1,0,1,no,1,1,I arbejde,0,0,1,1,0,0,1,1
Pingvin,male,23,training_train,practice,pcfs1,4,1,18,0,white,square,sounds\V.wav,1555413935042,0,0,1,1,1,0,no,1,1,I arbejde,0,0,0,0,1,0,1,1
Pingvin,male,23,training_train,practice,pcfs1,4,1,19,8,white,star,sounds\G.wav,1555413938604,0,0,1,1,1,0,no,1,1,I arbejde,0,0,0,1,1,1,1,1
Pingvin,male,23,training_train,practice,pcfs1,4,1,20,3,red,square,sounds\G.wav,1555413942188,1,0,0,1,1,0,no,1,1,I arbejde,1,0,0,0,1,1,1,1
Pingvin,male,23,training_train,practice,pcfs1,4,1,21,3,red,square,sounds\D.wav,1555413945771,1,1,0,1,1,0,no,1,0,I arbejde,0,1,1,1,0,0,1,1
Pingvin,male,23,training_train,practice,pcfs1,4,1,22,8,yellow,square,sounds\D.wav,1555413949390,1,1,0,1,0,1,no,1,1,I arbejde,1,0,1,0,1,1,1,1
Pingvin,male,23,training_train,practice,pcfs1,4,1,23,0,dimgray,circle,sounds\P.wav,1555413952940,0,0,1,1,1,0,no,1,1,I arbejde,0,0,0,0,1,0,1,1
Pingvin,male,23,training_train,practice,pcfs1,4,1,24,1,darkorange,triangle,sounds\P.wav,1555413956506,1,0,1,1,1,0,no,1,1,I arbejde,1,0,0,0,1,0,1,1
Pingvin,male,23,training_train,practice,pcfs1,4,1,25,2,blue,triangle,sounds\B.wav,1555413960074,0,0,1,1,1,0,no,1,0,I arbejde,0,0,1,0,1,0,1,1
Pingvin,male,23,training_train,practice,pcfs1,4,1,26,6,yellow,circle,sounds\P.wav,1555413963640,1,0,1,1,1,0,no,1,1,I arbejde,0,0,0,0,0,0,1,1
Pingvin,male,23,training_train,practice,pcfs1,4,1,27,6,white,square,sounds\T.wav,1555413967207,0,1,1,1,1,0,no,1,1,I arbejde,0,1,0,0,1,0,1,1
Pingvin,male,23,training_train,practice,pcfs1,4,1,28,0,dimgray,square,sounds\D.wav,1555413970757,0,0,1,1,1,0,no,1,0,I arbejde,0,0,1,0,1,0,1,1
