id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,figure_response,position_target,figure_tested,timestamp,sound_target,color_tested,sound_response,color_score,figure_target,sound_score,sound_tested,figure_score,simulate,position_response,occupation,color_target,position_score,color_response,position_tested
Orangutan,male,55,training_transfer,training,ps2,2,2,51,4,white,circle,sounds\P.wav,,0,0,1555675283241,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,52,3,white,circle,sounds\G.wav,,0,0,1555675285791,1,0,0,,,0,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,53,5,white,circle,sounds\E.wav,,0,0,1555675288341,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,54,7,white,circle,sounds\D.wav,,0,0,1555675290891,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,55,0,white,circle,sounds\B.wav,,0,0,1555675293441,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,56,3,white,circle,sounds\G.wav,,0,0,1555675295990,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,57,5,white,circle,sounds\V.wav,,0,0,1555675298541,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,58,1,white,circle,sounds\P.wav,,0,0,1555675301091,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,59,3,white,circle,sounds\D.wav,,0,0,1555675303641,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,60,0,white,circle,sounds\G.wav,,0,0,1555675306191,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,61,4,white,circle,sounds\B.wav,,0,0,1555675308741,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,62,0,white,circle,sounds\G.wav,,1,0,1555675311307,1,0,0,,,0,1,,no,1,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,1,4,white,circle,sounds\D.wav,,0,0,1555675349526,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,2,8,white,circle,sounds\P.wav,,0,0,1555675352076,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,3,7,white,circle,sounds\D.wav,,0,0,1555675354626,1,0,0,,,0,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,4,6,white,circle,sounds\B.wav,,0,0,1555675357176,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,5,4,white,circle,sounds\P.wav,,0,0,1555675359742,0,0,1,,,0,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,6,4,white,circle,sounds\T.wav,,0,0,1555675362293,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,7,8,white,circle,sounds\G.wav,,0,0,1555675364842,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,8,3,white,circle,sounds\V.wav,,0,0,1555675367393,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,9,5,white,circle,sounds\G.wav,,0,0,1555675369943,1,0,0,,,0,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,10,8,white,circle,sounds\D.wav,,0,0,1555675372493,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,11,5,white,circle,sounds\T.wav,,1,0,1555675375043,0,0,0,,,1,1,,no,0,Andet,,0,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,12,8,white,circle,sounds\G.wav,,1,0,1555675377593,0,0,0,,,1,1,,no,0,Andet,,0,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,13,0,white,circle,sounds\G.wav,,0,0,1555675380143,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,14,1,white,circle,sounds\E.wav,,0,0,1555675382693,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,15,3,white,circle,sounds\D.wav,,0,0,1555675385243,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,16,7,white,circle,sounds\G.wav,,0,0,1555675387793,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,17,3,white,circle,sounds\C.wav,,1,0,1555675390343,0,0,0,,,1,1,,no,0,Andet,,0,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,18,6,white,circle,sounds\C.wav,,0,0,1555675392893,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,19,3,white,circle,sounds\D.wav,,1,0,1555675395460,0,0,0,,,1,1,,no,1,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,20,0,white,circle,sounds\C.wav,,0,0,1555675398010,1,0,0,,,0,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,21,8,white,circle,sounds\D.wav,,0,0,1555675400560,1,0,0,,,0,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,22,4,white,circle,sounds\D.wav,,0,0,1555675403110,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,23,6,white,circle,sounds\G.wav,,0,0,1555675405661,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,24,5,white,circle,sounds\T.wav,,0,0,1555675408211,0,0,0,,,1,1,,no,0,Andet,,1,,1
