id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_tested,position_score,simulate,figure_response,figure_score,sound_tested,color_tested,sound_target,position_target,figure_target,position_response,color_target,sound_response,color_response,sound_score,occupation,figure_tested,color_score,timestamp
Egern,male,23,training_train,practice,sc2,2,2,18,4,blue,circle,sounds/D.wav,0,,no,,,1,1,1,,,,1,0,1,0,I arbejde,0,1,1555351933355
Egern,male,23,training_train,practice,sc2,2,2,19,4,darkorange,circle,sounds/P.wav,0,,no,,,1,1,1,,,,0,0,0,0,I arbejde,0,1,1555351935927
Egern,male,23,training_train,practice,sc2,2,2,20,4,yellow,circle,sounds/E.wav,0,,no,,,1,1,0,,,,0,0,0,1,I arbejde,0,1,1555351938501
Egern,male,23,training_train,practice,sc2,2,2,21,4,yellow,circle,sounds/P.wav,0,,no,,,1,1,1,,,,0,1,0,1,I arbejde,0,1,1555351941090
Egern,male,23,training_train,practice,sc2,2,2,22,4,green,circle,sounds/C.wav,0,,no,,,1,1,0,,,,0,1,1,0,I arbejde,0,0,1555351943685
Egern,male,23,training_train,practice,sc2,2,2,23,4,dimgray,circle,sounds/E.wav,0,,no,,,1,1,0,,,,0,0,0,1,I arbejde,0,1,1555351946254
Egern,male,23,training_train,practice,sc2,2,2,24,4,green,circle,sounds/P.wav,0,,no,,,1,1,0,,,,1,1,1,0,I arbejde,0,1,1555351948861
Egern,male,23,training_train,practice,sc2,2,2,25,4,darkorange,circle,sounds/D.wav,0,,no,,,1,1,0,,,,0,0,0,1,I arbejde,0,1,1555351951435
Egern,male,23,training_train,practice,sc2,2,2,26,4,red,circle,sounds/B.wav,0,,no,,,1,1,0,,,,0,0,0,1,I arbejde,0,1,1555351954007
Egern,male,23,training_train,practice,sc2,2,2,27,4,white,circle,sounds/D.wav,0,,no,,,1,1,1,,,,0,1,0,1,I arbejde,0,1,1555351956596
Egern,male,23,training_train,practice,sc2,2,2,28,4,blue,circle,sounds/V.wav,0,,no,,,1,1,0,,,,0,1,1,0,I arbejde,0,0,1555351959194
Egern,male,23,training_train,practice,sc2,2,2,29,4,white,circle,sounds/T.wav,0,,no,,,1,1,0,,,,1,0,1,1,I arbejde,0,1,1555351961786
Egern,male,23,training_train,practice,sc2,2,2,30,4,red,circle,sounds/P.wav,0,,no,,,1,1,0,,,,0,0,0,1,I arbejde,0,1,1555351964355
Egern,male,23,training_train,practice,sc2,2,2,31,4,white,circle,sounds/E.wav,0,,no,,,1,1,0,,,,1,1,1,0,I arbejde,0,1,1555351966947
Egern,male,23,training_train,practice,sc2,2,2,32,4,blue,circle,sounds/D.wav,0,,no,,,1,1,0,,,,0,1,0,0,I arbejde,0,1,1555351969539
Egern,male,23,training_train,practice,pcfs1,4,1,1,1,dimgray,triangle,sounds/V.wav,1,1,no,0,1,1,1,0,0,0,0,0,0,0,1,I arbejde,1,1,1555351994060
Egern,male,23,training_train,practice,pcfs1,4,1,2,1,darkorange,star,sounds/E.wav,1,0,no,0,1,1,1,0,1,0,0,0,0,0,1,I arbejde,1,1,1555351997658
Egern,male,23,training_train,practice,pcfs1,4,1,3,7,green,circle,sounds/C.wav,1,1,no,0,1,1,1,0,0,0,0,0,0,0,1,I arbejde,1,1,1555352001249
Egern,male,23,training_train,practice,pcfs1,4,1,4,4,green,circle,sounds/E.wav,1,1,no,0,0,1,1,0,0,1,0,1,0,1,1,I arbejde,1,1,1555352004854
Egern,male,23,training_train,practice,pcfs1,4,1,5,8,white,square,sounds/B.wav,1,1,no,0,1,1,1,0,0,0,0,0,0,0,1,I arbejde,1,1,1555352008450
