id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_target,sound_score,simulate,color_target,figure_tested,sound_tested,position_response,sound_target,color_tested,color_score,sound_response,figure_target,color_response,position_tested,timestamp,figure_response,figure_score,occupation,position_score
mus,male,25,training_transfer,training,ps2,2,2,57,6,white,circle,sounds/T.wav,1,1,no,,0,1,1,0,0,,0,,,1,1555332159782,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,58,6,white,circle,sounds/E.wav,0,0,no,,0,1,0,1,0,,0,,,1,1555332162360,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,59,5,white,circle,sounds/T.wav,0,1,no,,0,1,0,1,0,,1,,,1,1555332164949,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,60,4,white,circle,sounds/D.wav,0,0,no,,0,1,0,0,0,,1,,,1,1555332167567,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,61,2,white,circle,sounds/B.wav,0,1,no,,0,1,0,0,0,,0,,,1,1555332170151,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,62,7,white,circle,sounds/D.wav,0,0,no,,0,1,0,1,0,,0,,,1,1555332172716,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,1,5,white,circle,sounds/C.wav,0,1,no,,0,1,0,0,0,,0,,,1,1555332196730,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,2,0,white,circle,sounds/V.wav,0,1,no,,0,1,0,0,0,,0,,,1,1555332199313,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,3,8,white,circle,sounds/E.wav,0,1,no,,0,1,0,0,0,,0,,,1,1555332201882,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,4,5,white,circle,sounds/T.wav,0,1,no,,0,1,1,0,0,,0,,,1,1555332204474,,,Studerende,0
mus,male,25,training_transfer,training,ps2,2,2,5,6,white,circle,sounds/E.wav,0,0,no,,0,1,0,1,0,,0,,,1,1555332207051,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,6,3,white,circle,sounds/G.wav,0,1,no,,0,1,0,0,0,,0,,,1,1555332209620,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,7,5,white,circle,sounds/T.wav,0,0,no,,0,1,0,0,0,,1,,,1,1555332212209,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,8,4,white,circle,sounds/D.wav,0,1,no,,0,1,0,0,0,,0,,,1,1555332214790,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,9,3,white,circle,sounds/B.wav,0,1,no,,0,1,0,0,0,,0,,,1,1555332217370,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,10,4,white,circle,sounds/E.wav,1,1,no,,0,1,0,0,0,,0,,,1,1555332219942,,,Studerende,0
mus,male,25,training_transfer,training,ps2,2,2,11,7,white,circle,sounds/B.wav,0,0,no,,0,1,0,1,0,,0,,,1,1555332222525,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,12,5,white,circle,sounds/B.wav,0,1,no,,0,1,0,0,0,,0,,,1,1555332225094,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,13,6,white,circle,sounds/D.wav,0,0,no,,0,1,0,0,0,,1,,,1,1555332227698,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,14,2,white,circle,sounds/C.wav,0,0,no,,0,1,0,0,0,,1,,,1,1555332230313,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,15,2,white,circle,sounds/D.wav,0,1,no,,0,1,0,1,0,,1,,,1,1555332232890,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,16,0,white,circle,sounds/B.wav,0,0,no,,0,1,0,0,0,,1,,,1,1555332235482,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,17,3,white,circle,sounds/T.wav,0,1,no,,0,1,0,0,0,,0,,,1,1555332238051,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,18,5,white,circle,sounds/B.wav,0,1,no,,0,1,0,1,0,,1,,,1,1555332240623,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,19,6,white,circle,sounds/T.wav,0,1,no,,0,1,0,1,0,,1,,,1,1555332243219,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,20,6,white,circle,sounds/G.wav,0,1,no,,0,1,0,0,0,,0,,,1,1555332245789,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,21,1,white,circle,sounds/V.wav,0,1,no,,0,1,0,0,0,,0,,,1,1555332248355,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,22,4,white,circle,sounds/G.wav,0,1,no,,0,1,0,1,0,,1,,,1,1555332250959,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,23,4,white,circle,sounds/G.wav,0,1,no,,0,1,0,0,0,,0,,,1,1555332253542,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,24,6,white,circle,sounds/G.wav,0,1,no,,0,1,0,1,0,,1,,,1,1555332256137,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,25,7,white,circle,sounds/V.wav,0,1,no,,0,1,0,0,0,,0,,,1,1555332258726,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,26,7,white,circle,sounds/G.wav,0,1,no,,0,1,0,1,0,,1,,,1,1555332261312,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,27,0,white,circle,sounds/C.wav,0,1,no,,0,1,0,0,0,,0,,,1,1555332263881,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,28,6,white,circle,sounds/E.wav,0,1,no,,0,1,1,0,0,,0,,,1,1555332266464,,,Studerende,0
mus,male,25,training_transfer,training,ps2,2,2,29,5,white,circle,sounds/B.wav,0,1,no,,0,1,0,0,0,,0,,,1,1555332269033,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,30,6,white,circle,sounds/C.wav,1,0,no,,0,1,0,0,0,,1,,,1,1555332271632,,,Studerende,0
mus,male,25,training_transfer,training,ps2,2,2,31,2,white,circle,sounds/C.wav,0,0,no,,0,1,0,0,0,,1,,,1,1555332274229,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,32,5,white,circle,sounds/T.wav,0,1,no,,0,1,1,0,0,,0,,,1,1555332276824,,,Studerende,0
mus,male,25,training_transfer,training,ps2,2,2,33,2,white,circle,sounds/B.wav,1,0,no,,0,1,0,0,0,,1,,,1,1555332279424,,,Studerende,0
mus,male,25,training_transfer,training,ps2,2,2,34,2,white,circle,sounds/D.wav,0,1,no,,0,1,0,0,0,,0,,,1,1555332282019,,,Studerende,1
