id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_score,simulate,position_target,sound_target,figure_target,timestamp,figure_score,figure_tested,figure_response,color_tested,color_target,sound_tested,position_tested,sound_response,sound_score,position_response,occupation,color_score,color_response
Gnu,male,22,training_train,practice,pcfs1,4,1,15,0,darkorange,square,sounds/G.wav,0,no,1,1,1,1554986486209,0,1,0,1,0,1,1,1,1,0,Studerende,1,0
Gnu,male,22,training_train,practice,pcfs1,4,1,16,0,white,square,sounds/G.wav,1,no,1,1,1,1554986489843,1,1,1,1,0,1,1,1,1,1,Studerende,1,0
Gnu,male,22,training_train,practice,pcfs1,4,1,17,3,white,circle,sounds/T.wav,0,no,0,0,0,1554986493439,1,1,0,1,1,1,1,0,1,1,Studerende,0,0
Gnu,male,22,training_train,practice,pcfs1,4,1,18,3,dimgray,square,sounds/E.wav,0,no,1,0,0,1554986497038,1,1,0,1,0,1,1,0,1,0,Studerende,1,0
Gnu,male,22,training_train,practice,pcfs1,4,1,19,8,dimgray,star,sounds/E.wav,1,no,0,1,0,1554986500652,1,1,0,1,1,1,1,0,0,0,Studerende,1,1
Gnu,male,22,training_train,practice,pcfs1,4,1,20,7,darkorange,triangle,sounds/B.wav,1,no,0,0,0,1554986504242,1,1,0,1,0,1,1,0,1,0,Studerende,1,0
Gnu,male,22,training_train,practice,pcfs1,4,1,21,6,white,square,sounds/B.wav,1,no,0,1,0,1554986507853,1,1,0,1,0,1,1,1,1,0,Studerende,1,0
Gnu,male,22,training_train,practice,pcfs1,4,1,22,5,dimgray,circle,sounds/P.wav,1,no,0,0,0,1554986511443,1,1,0,1,0,1,1,0,1,0,Studerende,1,0
Gnu,male,22,training_train,practice,pcfs1,4,1,23,7,red,star,sounds/T.wav,1,no,0,0,0,1554986515037,1,1,0,1,0,1,1,0,1,0,Studerende,1,0
Gnu,male,22,training_train,practice,pcfs1,4,1,24,0,white,star,sounds/B.wav,1,no,0,0,1,1554986518630,0,1,0,1,0,1,1,0,1,0,Studerende,1,0
Gnu,male,22,training_train,practice,pcfs1,4,1,25,6,yellow,circle,sounds/V.wav,1,no,0,0,0,1554986522221,1,1,0,1,0,1,1,0,1,0,Studerende,1,0
Gnu,male,22,training_train,practice,pcfs1,4,1,26,2,darkorange,circle,sounds/P.wav,1,no,0,0,1,1554986525832,1,1,1,1,0,1,1,0,1,0,Studerende,1,0
Gnu,male,22,training_train,practice,pcfs1,4,1,27,2,darkorange,star,sounds/C.wav,1,no,1,0,0,1554986529442,1,1,0,1,1,1,1,0,1,1,Studerende,0,0
Gnu,male,22,training_train,practice,pcfs1,4,1,28,3,white,circle,sounds/V.wav,1,no,0,0,0,1554986533036,1,1,0,1,0,1,1,0,1,0,Studerende,1,0
Gnu,male,22,training_train,practice,pcfs1,4,1,29,7,green,circle,sounds/B.wav,1,no,0,0,1,1554986536629,0,1,0,1,0,1,1,0,1,0,Studerende,1,0
Gnu,male,22,training_train,practice,pcfs1,4,1,30,7,white,star,sounds/B.wav,1,no,1,1,0,1554986540246,1,1,0,1,0,1,1,0,0,1,Studerende,1,0
Gnu,male,22,training_train,practice,pcfs1,4,1,31,8,green,star,sounds/T.wav,1,no,0,0,1,1554986543854,0,1,0,1,0,1,1,0,1,0,Studerende,0,1
Gnu,male,22,training_train,pretest,pc2,2,2,1,0,yellow,circle,,1,no,0,,,1554986565828,,0,,1,0,0,1,,,0,Studerende,1,0
Gnu,male,22,training_train,pretest,pc2,2,2,2,2,green,circle,,1,no,0,,,1554986568420,,0,,1,0,0,1,,,0,Studerende,0,1
Gnu,male,22,training_train,pretest,pc2,2,2,3,1,green,circle,,1,no,0,,,1554986571009,,0,,1,0,0,1,,,0,Studerende,0,1
Gnu,male,22,training_train,pretest,pc2,2,2,4,2,blue,circle,,0,no,1,,,1554986573581,,0,,1,0,0,1,,,0,Studerende,1,0
Gnu,male,22,training_train,pretest,pc2,2,2,5,6,blue,circle,,1,no,0,,,1554986576167,,0,,1,0,0,1,,,0,Studerende,0,1
Gnu,male,22,training_train,pretest,pc2,2,2,6,2,blue,circle,,0,no,1,,,1554986578767,,0,,1,1,0,1,,,0,Studerende,1,1
Gnu,male,22,training_train,pretest,pc2,2,2,7,0,red,circle,,1,no,0,,,1554986581337,,0,,1,0,0,1,,,0,Studerende,1,0
Gnu,male,22,training_train,pretest,pc2,2,2,8,3,green,circle,,1,no,0,,,1554986583908,,0,,1,0,0,1,,,0,Studerende,1,0
