id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,figure_target,occupation,position_tested,position_score,sound_target,figure_tested,position_response,figure_score,color_score,figure_response,timestamp,position_target,sound_score,simulate,sound_tested,color_target,color_response,color_tested,sound_response
Hest,male,20,training_transfer,posttest,pc2,2,2,29,3,darkorange,circle,,,Studerende,1,1,,0,0,,1,,1554978660225,0,,no,0,1,1,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,30,6,darkorange,circle,,,Studerende,1,1,,0,0,,0,,1554978662811,0,,no,0,0,1,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,31,3,red,circle,,,Studerende,1,1,,0,1,,1,,1554978665391,1,,no,0,0,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,32,0,white,circle,,,Studerende,1,1,,0,0,,1,,1554978667970,0,,no,0,0,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,33,4,red,circle,,,Studerende,1,1,,0,0,,0,,1554978670546,0,,no,0,1,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,34,7,red,circle,,,Studerende,1,1,,0,0,,1,,1554978673121,0,,no,0,0,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,35,8,red,circle,,,Studerende,1,1,,0,0,,1,,1554978675707,0,,no,0,1,1,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,36,0,yellow,circle,,,Studerende,1,1,,0,0,,1,,1554978678285,0,,no,0,0,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,37,4,red,circle,,,Studerende,1,1,,0,0,,1,,1554978680879,0,,no,0,1,1,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,38,0,darkorange,circle,,,Studerende,1,1,,0,1,,0,,1554978683478,1,,no,0,0,1,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,39,1,blue,circle,,,Studerende,1,1,,0,0,,1,,1554978686055,0,,no,0,0,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,40,0,blue,circle,,,Studerende,1,1,,0,1,,1,,1554978688653,1,,no,0,0,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,41,6,white,circle,,,Studerende,1,1,,0,0,,1,,1554978691236,0,,no,0,0,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,42,2,red,circle,,,Studerende,1,1,,0,0,,1,,1554978693810,0,,no,0,0,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,43,8,dimgray,circle,,,Studerende,1,1,,0,0,,1,,1554978696382,0,,no,0,0,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,44,0,dimgray,circle,,,Studerende,1,1,,0,0,,0,,1554978698980,0,,no,0,0,1,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,45,8,white,circle,,,Studerende,1,1,,0,1,,1,,1554978701566,1,,no,0,0,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,46,8,white,circle,,,Studerende,1,1,,0,0,,1,,1554978704138,0,,no,0,0,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,47,8,white,circle,,,Studerende,1,1,,0,1,,1,,1554978706747,1,,no,0,1,1,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,48,5,blue,circle,,,Studerende,1,1,,0,0,,1,,1554978709332,0,,no,0,0,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,49,3,blue,circle,,,Studerende,1,1,,0,0,,1,,1554978711904,0,,no,0,0,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,50,5,red,circle,,,Studerende,1,1,,0,1,,1,,1554978714491,1,,no,0,0,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,51,5,blue,circle,,,Studerende,1,0,,0,1,,1,,1554978717092,0,,no,0,1,1,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,52,5,red,circle,,,Studerende,1,0,,0,0,,0,,1554978719661,1,,no,0,1,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,53,3,green,circle,,,Studerende,1,1,,0,0,,1,,1554978722235,0,,no,0,0,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,54,8,yellow,circle,,,Studerende,1,1,,0,0,,1,,1554978724810,0,,no,0,0,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,55,2,blue,circle,,,Studerende,1,1,,0,0,,1,,1554978727382,0,,no,0,0,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,56,0,yellow,circle,,,Studerende,1,1,,0,0,,1,,1554978729968,0,,no,0,1,1,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,57,5,blue,circle,,,Studerende,1,1,,0,0,,1,,1554978732557,0,,no,0,1,1,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,58,0,green,circle,,,Studerende,1,1,,0,1,,1,,1554978735148,1,,no,0,0,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,59,5,dimgray,circle,,,Studerende,1,1,,0,1,,1,,1554978737738,1,,no,0,0,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,60,3,dimgray,circle,,,Studerende,1,1,,0,0,,1,,1554978740319,0,,no,0,0,0,1,
